source_doi,source_slug,proposed_relationship_type,target_doi,target_slug,evidence_url,source_backed_summary,confidence,decision
10.5061/dryad.2rbnzs7m4,dryad_namd_oct_quant,same_or_overlapping_cohort_as,10.5061/dryad.4mw6m906b,dryad_moorfields_namd_fellow_eye,https://doi.org/10.5061/dryad.2rbnzs7m4,Official Dryad metadata identifies the Moorfields AMD database/project; the target official deposit identifies Moorfields nAMD treatment data in an overlapping extraction/treatment period.,high,confirmed
10.5061/dryad.2rbnzs7m4,dryad_namd_oct_quant,same_or_overlapping_cohort_as,10.5061/dryad.97r9289,dryad_moorfields_amd_1_2_year,https://doi.org/10.5061/dryad.2rbnzs7m4,Official Dryad metadata identifies the Moorfields AMD database/project; the target official deposit identifies Moorfields nAMD treatment data in an overlapping extraction/treatment period.,high,confirmed
10.5061/dryad.4mw6m906b,dryad_moorfields_namd_fellow_eye,same_or_overlapping_cohort_as,10.5061/dryad.2rbnzs7m4,dryad_namd_oct_quant,https://doi.org/10.5061/dryad.4mw6m906b,Official Dryad metadata identifies the Moorfields AMD database/project; the target official deposit identifies Moorfields nAMD treatment data in an overlapping extraction/treatment period.,high,confirmed
10.5061/dryad.4mw6m906b,dryad_moorfields_namd_fellow_eye,same_or_overlapping_cohort_as,10.5061/dryad.573n5tb5d,dryad_namd_visual_prediction,https://doi.org/10.5061/dryad.4mw6m906b,Official Dryad metadata identifies the Moorfields AMD database/project; the target official deposit identifies Moorfields nAMD treatment data in an overlapping extraction/treatment period.,high,confirmed
10.5061/dryad.4mw6m906b,dryad_moorfields_namd_fellow_eye,same_or_overlapping_cohort_as,10.5061/dryad.97r9289,dryad_moorfields_amd_1_2_year,https://doi.org/10.5061/dryad.4mw6m906b,Both official deposits explicitly name the Moorfields AMD database and report overlapping 2008-2018 extraction windows.,high,confirmed
10.5061/dryad.573n5tb5d,dryad_namd_visual_prediction,same_or_overlapping_cohort_as,10.5061/dryad.4mw6m906b,dryad_moorfields_namd_fellow_eye,https://doi.org/10.5061/dryad.573n5tb5d,Official Dryad metadata identifies the Moorfields AMD database/project; the target official deposit identifies Moorfields nAMD treatment data in an overlapping extraction/treatment period.,high,confirmed
10.5061/dryad.573n5tb5d,dryad_namd_visual_prediction,same_or_overlapping_cohort_as,10.5061/dryad.97r9289,dryad_moorfields_amd_1_2_year,https://doi.org/10.5061/dryad.573n5tb5d,Official Dryad metadata identifies the Moorfields AMD database/project; the target official deposit identifies Moorfields nAMD treatment data in an overlapping extraction/treatment period.,high,confirmed
10.5061/dryad.97r9289,dryad_moorfields_amd_1_2_year,same_or_overlapping_cohort_as,10.5061/dryad.2rbnzs7m4,dryad_namd_oct_quant,https://doi.org/10.5061/dryad.97r9289,Official Dryad metadata identifies the Moorfields AMD database/project; the target official deposit identifies Moorfields nAMD treatment data in an overlapping extraction/treatment period.,high,confirmed
10.5061/dryad.97r9289,dryad_moorfields_amd_1_2_year,same_or_overlapping_cohort_as,10.5061/dryad.4mw6m906b,dryad_moorfields_namd_fellow_eye,https://doi.org/10.5061/dryad.97r9289,Both official deposits explicitly name the Moorfields AMD database and report overlapping 2008-2018 extraction windows.,high,confirmed
10.5061/dryad.97r9289,dryad_moorfields_amd_1_2_year,same_or_overlapping_cohort_as,10.5061/dryad.573n5tb5d,dryad_namd_visual_prediction,https://doi.org/10.5061/dryad.97r9289,Official Dryad metadata identifies the Moorfields AMD database/project; the target official deposit identifies Moorfields nAMD treatment data in an overlapping extraction/treatment period.,high,confirmed
10.5061/dryad.sf7m0cggh,dryad_sf7m0cggh,derived_from,,drive,https://datadryad.org/api/v2/versions/353579/files,Official current file listing names DRIVE trace annotation and result files; deposit is a distinct retinal-vessel tracing layer.,high,confirmed
10.5061/dryad.0kt87,dryad_iris_surface_features,same_or_overlapping_cohort_as,10.5061/dryad.sbcc2fr6n,dryad_sbcc2fr6n,https://doi.org/10.5061/dryad.0kt87,"Both official deposits cite the identical primary article DOI, but their distinct titles, file inventories, and official metadata do not establish whether records are identical, a subset, or an extension.",medium,unresolved
10.5061/dryad.4mw6m906b,dryad_moorfields_namd_fellow_eye,same_or_overlapping_cohort_as,10.5061/dryad.9cnp5hqfm,dryad_namd_ten_year_survival,https://doi.org/10.5061/dryad.4mw6m906b,"Official metadata indicates Moorfields provenance/governance, but does not state that the deposit uses the same named AMD database or an overlapping cohort; no edge is asserted.",low,unresolved
10.5061/dryad.9cnp5hqfm,dryad_namd_ten_year_survival,same_or_overlapping_cohort_as,10.5061/dryad.4mw6m906b,dryad_moorfields_namd_fellow_eye,https://doi.org/10.5061/dryad.9cnp5hqfm,"Official metadata indicates Moorfields provenance/governance, but does not state that the deposit uses the same named AMD database or an overlapping cohort; no edge is asserted.",low,unresolved
10.5061/dryad.sbcc2fr6n,dryad_sbcc2fr6n,same_or_overlapping_cohort_as,10.5061/dryad.0kt87,dryad_iris_surface_features,https://doi.org/10.5061/dryad.sbcc2fr6n,"Both official deposits cite the identical primary article DOI, but their distinct titles, file inventories, and official metadata do not establish whether records are identical, a subset, or an extension.",medium,unresolved
