doi,title,decision,reason,modality,tasks,primary_quantity_count,primary_quantity_unit,quantity_evidence_basis,publication_doi,version_number,file_count,total_bytes,matched_existing_record,relationship_type,confidence
10.5061/dryad.01n20,Data from: Clinical efficacy of implantation of toric intraocular lenses with different incision positions: a comparative study of steep-axis incision and non-steep-axis incision,add_now,Individual cataract-surgery outcome table with documented 60-patient ocular cohort.,tabular,outcome_analysis|regression,60,participants,official_Dryad_description,https://doi.org/10.1186/s12886-017-0528-x,1,1,65825,,no_documented_catalog_relationship,high
10.5061/dryad.08kprr5h8,Data from: Refillable intraocular drug-eluting implant,exclude,Figure-labelled raw values support an intraocular-device paper; no distinct reusable ocular data object.,tabular,not_applicable,unknown,unknown,not_reported_in_official_metadata,https://doi.org/10.1021/acsami.5c03985,3,15,723463,,no_documented_catalog_relationship,high
10.5061/dryad.0kt87,Data from: Analysis of iris surface features in populations of diverse ancestry,add_now,Individual human iris-feature observations are a reusable ocular phenotyping table.,external_eye|tabular,phenotyping|classification,unknown,unknown,not_reported_in_official_metadata,https://doi.org/10.1098/rsos.150424,1,1,155993,,no_documented_catalog_relationship,high
10.5061/dryad.0p2ngf25g,Mechanisms of simultaneous linear and nonlinear computations at the mammalian cone photoreceptor synapse,add_now,Named datasets and README provide substantial cone-synapse imaging and physiology data.,microscopy|electrophysiology,measurement|simulation,unknown,unknown,not_reported_in_official_metadata,https://doi.org/10.1038/s41467-023-38943-2,8,4,11191747623,,no_documented_catalog_relationship,high
10.5061/dryad.0qk7f,Data from: Identification of genetic defects in 33 probands with Stargardt disease by WES-based bioinformatics gene panel analysis,add_now,Variant table for 33 Stargardt probands is a reusable retinal-disease genomics resource.,omics|tabular,variant_analysis|diagnosis,33,probands,official_Dryad_description,https://doi.org/10.1371/journal.pone.0132635,1,1,284937,,no_documented_catalog_relationship,high
10.5061/dryad.13bp2,Data from: Changing patterns of cataract services in North-West Nigeria: 2005–2016,add_now,Documented population eye-health survey table supports cataract-service analyses.,tabular,epidemiology|outcome_analysis,unknown,unknown,not_reported_in_official_metadata,https://doi.org/10.1371/journal.pone.0183421,1,2,418304,,no_documented_catalog_relationship,high
10.5061/dryad.144h1s1,"Data from: Extraocular motoneuron pools develop along a dorsoventral axis in zebrafish, Danio rerio",add_now,Raw zebrafish extraocular-motoneuron image/data archives are a direct ocular-motor resource.,microscopy,cell_tracking|measurement,unknown,unknown,not_reported_in_official_metadata,https://doi.org/10.1002/cne.24042,1,10,13100566099,,no_documented_catalog_relationship,high
10.5061/dryad.163mp,Data from: Rat retinal vasomotion assessed by laser speckle imaging,add_now,MATLAB retinal laser-speckle measurements document eight retinal experiments.,retinal_imaging|signals,measurement|time_series_analysis,8,experiments,official_Dryad_description,https://doi.org/10.1371/journal.pone.0173805,1,1,1111189442,,no_documented_catalog_relationship,high
10.5061/dryad.1f1rc,Data from: Error-robust modes of the retinal population code,add_now,Archive explicitly supplies salamander retinal-ganglion-cell spike times under four stimuli.,electrophysiology,neural_decoding|classification,150,cells,official_Dryad_description,https://doi.org/10.1371/journal.pcbi.1005148,1,1,87524253,,no_documented_catalog_relationship,high
10.5061/dryad.1g1jwsv9d,Retinal calcium waves coordinate uniform tissue patterning of the Drosophila eye,exclude,"Workbook set is organized solely as article figure panels, without a separately documented reusable data object.",tabular,not_applicable,unknown,unknown,not_reported_in_official_metadata,https://doi.org/10.1126/science.ady5541,18,12,647040,,no_documented_catalog_relationship,high
