doi,title,prior_decision,scope_decision,rationale,normalized_primary_category,normalized_tasks,primary_quantity_count,primary_quantity_unit,research_object_basis,publication_doi,version_number,file_count,total_bytes,matched_existing_record,relationship_type,confidence
10.5061/dryad.01n20,Data from: Clinical efficacy of implantation of toric intraocular lenses with different incision positions: a comparative study of steep-axis incision and non-steep-axis incision,add_now,core_add,Human toric-IOL surgical outcome table directly supports cataract-surgery outcome analysis.,tabular,regression,60,participants,Numeric primary quantity: 60 participants in the official description.,https://doi.org/10.1186/s12886-017-0528-x,1,1,65825,,no_documented_catalog_relationship,high
10.5061/dryad.0kt87,Data from: Analysis of iris surface features in populations of diverse ancestry,add_now,core_add,Individual human iris-feature records are directly reusable for iris biometrics and phenotype classification.,iris_biometrics,classification,unknown,unknown,Defined object: Iris features data.xlsx; official usage notes identify individual trait data.,https://doi.org/10.1098/rsos.150424,1,1,155993,,no_documented_catalog_relationship,high
10.5061/dryad.0p2ngf25g,Mechanisms of simultaneous linear and nonlinear computations at the mammalian cone photoreceptor synapse,add_now,adjacent_add,Ground-squirrel cone-synapse recordings are a well-defined retinal physiology resource relevant to photoreceptor mechanism studies.,cell_microscopy,measurement,unknown,unknown,Defined object: three named Dataset_*.zip archives plus README.,https://doi.org/10.1038/s41467-023-38943-2,8,4,11191747623,,no_documented_catalog_relationship,medium
10.5061/dryad.0qk7f,Data from: Identification of genetic defects in 33 probands with Stargardt disease by WES-based bioinformatics gene panel analysis,add_now,core_add,The 33-proband Stargardt variant table is a direct inherited-retinal-disease genomics resource.,omics,classification,33,probands,Numeric primary quantity: 33 probands in the official description.,https://doi.org/10.1371/journal.pone.0132635,1,1,284937,,no_documented_catalog_relationship,high
10.5061/dryad.13bp2,Data from: Changing patterns of cataract services in North-West Nigeria: 2005–2016,add_now,core_add,The documented Nigerian cataract-service survey is direct human ophthalmic epidemiology data.,tabular,regression,unknown,unknown,Defined object: Wurno zone survey spreadsheet with README.,https://doi.org/10.1371/journal.pone.0183421,1,2,418304,,no_documented_catalog_relationship,high
10.5061/dryad.144h1s1,"Data from: Extraocular motoneuron pools develop along a dorsoventral axis in zebrafish, Danio rerio",add_now,exclude_scope,Zebrafish extraocular motoneuron developmental figure archives are basic neurodevelopmental research rather than a translational ocular resource.,cell_microscopy,measurement,unknown,unknown,"Defined object exists, but scope is excluded.",https://doi.org/10.1002/cne.24042,1,10,13100566099,,no_documented_catalog_relationship,high
10.5061/dryad.163mp,Data from: Rat retinal vasomotion assessed by laser speckle imaging,add_now,adjacent_add,Rat retinal laser-speckle measurements are a defined ocular vascular-imaging method resource.,fundus,vessel_analysis|measurement,8,experiments,Numeric primary quantity: eight retinal experiments in the official usage notes.,https://doi.org/10.1371/journal.pone.0173805,1,1,1111189442,,no_documented_catalog_relationship,medium
10.5061/dryad.1f1rc,Data from: Error-robust modes of the retinal population code,add_now,exclude_scope,Salamander retinal population coding is general visual neuroscience without a stated ophthalmic disease or translational imaging use.,electrophysiology,classification,150,cells,"Defined object exists, but scope is excluded.",https://doi.org/10.1371/journal.pcbi.1005148,1,1,87524253,,no_documented_catalog_relationship,high
10.5061/dryad.1g6vm34,"Data from: Ophthalmologic evaluation of severely obese patients undergoing bariatric surgery: a pilot, monocentric, prospective, open-label study",add_now,core_add,Longitudinal human ophthalmic and OCT measurements in the bariatric cohort are directly reusable clinical data.,oct,regression,57,participants,Numeric primary quantity: 57 participants in the official description.,https://doi.org/10.1371/journal.pone.0216351,1,1,32456,,no_documented_catalog_relationship,high
10.5061/dryad.1n50q,Data from: Axial myopia is associated with visual field prognosis of primary open-angle glaucoma,add_now,core_add,The 270-eye glaucoma visual-field dataset directly supports prognosis and progression analysis.,visual_field,prognosis|regression,270,eyes,Numeric primary quantity: 270 eyes in the official description.,https://doi.org/10.1371/journal.pone.0133189,1,1,77824,,no_documented_catalog_relationship,high
