record_id,canonical_name,official_source_url,catalog_version,catalog_search_cutoff,quantity_review_date,available_nonprimary_quantities,reason
anterior_uveitis_corneal_endothelium,Anterior Uveitis Corneal Endothelium Dataset,https://doi.org/10.6084/m9.figshare.32054064.v1,0.6.0,2026-08-02,2026-08-02,[],No reproducible primary item count was exposed for the cataloged source version.
aqp4_optic_neuritis_oct_layers,AQP4 Optic Neuritis OCT Layers Dataset,https://doi.org/10.6084/m9.figshare.3209908.v1,0.6.0,2026-08-02,2026-08-02,[],No reproducible primary item count was exposed for the cataloged source version.
asd_eye_tracking,Autism Spectrum Disorder Eye-Tracking Dataset,https://doi.org/10.6084/m9.figshare.20113592.v1,0.6.0,2026-08-02,2026-08-02,[],No reproducible primary item count was exposed for the cataloged source version.
casia2_as_oct_repeatability,CASIA2 Anterior-Segment OCT Repeatability Dataset,https://doi.org/10.6084/m9.figshare.29302664.v1,0.6.0,2026-08-02,2026-08-02,[],No reproducible primary item count was exposed for the cataloged source version.
casia2_keratometric_astigmatism,CASIA2 Keratometric Astigmatism Dataset,https://doi.org/10.6084/m9.figshare.26395018.v1,0.6.0,2026-08-02,2026-08-02,[],No reproducible primary item count was exposed for the cataloged source version.
cataract_iol_biometry_outcomes,Cataract IOL Biometry and Outcomes Dataset,https://doi.org/10.6084/m9.figshare.22736687.v1,0.6.0,2026-08-02,2026-08-02,[],No reproducible primary item count was exposed for the cataloged source version.
cataract_lenstar_biometric_symmetry,Cataract LenStar Biometric Symmetry Dataset,https://doi.org/10.6084/m9.figshare.32833895.v1,0.6.0,2026-08-02,2026-08-02,[],No reproducible primary item count was exposed for the cataloged source version.
china_fundus_cimt,China Fundus and Carotid Intima-Media Thickness Dataset,https://doi.org/10.6084/m9.figshare.27907056.v1,0.6.0,2026-08-02,2026-08-02,[],No reproducible primary item count was exposed for the cataloged source version.
corneal_nerve_parkinsons,Corneal Nerve Parkinson Disease Dataset,https://doi.org/10.6084/m9.figshare.28189571.v1,0.6.0,2026-08-02,2026-08-02,[],No reproducible primary item count was exposed for the cataloged source version.
cyp1b1_poag_genotypes,CYP1B1 Primary Open-Angle Glaucoma Genotype Dataset,https://doi.org/10.25451/flinders.16545561.v1,0.6.0,2026-08-02,2026-08-02,[],No reproducible primary item count was exposed for the cataloged source version.
dryad_acanthamoeba_keratitis_transcriptome,Human conjunctival transcriptome in Acanthamoeba keratitis: An exploratory study,https://doi.org/10.5061/dryad.k3j9kd5fx,0.6.0,2026-08-02,2026-08-02,[],No reproducible primary item count was exposed for the cataloged source version.
dryad_clcc1_retinitis_pigmentosa,CLCC1 Retinitis Pigmentosa Genomics Dataset,https://doi.org/10.5061/dryad.3vv31qq,0.6.0,2026-08-02,2026-08-02,[],No reproducible primary item count was exposed for the cataloged source version.
dryad_congenital_cataract_sight_restoration,Congenital Cataract Sight Restoration Dataset,https://doi.org/10.5061/dryad.0gb5mkm9b,0.6.0,2026-08-02,2026-08-02,[],No reproducible primary item count was exposed for the cataloged source version.
dryad_corneal_biomechanics_prostaglandin,Changes in corneal biomechanical properties after long-term topical prostaglandin therapy,https://doi.org/10.5061/dryad.d35s0,0.6.0,2026-08-02,2026-08-02,[],No reproducible primary item count was exposed for the cataloged source version.
dryad_corneal_conjunctivitis_biomarker,Corneal Conjunctivitis Biomarker Dataset,https://doi.org/10.5061/dryad.4j0zpc8mm,0.6.0,2026-08-02,2026-08-02,[],No reproducible primary item count was exposed for the cataloged source version.
dryad_d1zd5s,Single cell transcriptomic analyses reveal the impact of bHLH factors on human retinal organoid development,https://doi.org/10.5068/d1zd5s,0.6.0,2026-08-02,2026-08-02,[],No reproducible primary item count was exposed for the cataloged source version.
dryad_fundus_venous_pulsation,Fundus Venous Pulsation Sequence Dataset,https://doi.org/10.5061/dryad.56f1h,0.6.0,2026-08-02,2026-08-02,[],No reproducible primary item count was exposed for the cataloged source version.
dryad_glaucoma_lhon_mitochondrial,Glaucoma and LHON Mitochondrial Function Dataset,https://doi.org/10.5061/dryad.2k4v4,0.6.0,2026-08-02,2026-08-02,[],No reproducible primary item count was exposed for the cataloged source version.
dryad_huntingtons_retinal_oct,Is retina affected in Huntington's disease? Is optical coherence tomography a good biomarker?,https://doi.org/10.5061/dryad.ncjsxksxr,0.6.0,2026-08-02,2026-08-02,[],No reproducible primary item count was exposed for the cataloged source version.
dryad_iris_surface_features,Iris Surface Features Dataset,https://doi.org/10.5061/dryad.0kt87,0.6.0,2026-08-02,2026-08-02,[],No reproducible primary item count was exposed for the cataloged source version.
dryad_nigeria_cataract_services,Nigeria Cataract Services Dataset,https://doi.org/10.5061/dryad.13bp2,0.6.0,2026-08-02,2026-08-02,[],No reproducible primary item count was exposed for the cataloged source version.
dryad_ocular_surface_amr,Ocular Surface AMR Keratitis Dataset,https://doi.org/10.5061/dryad.6t1g1jx9s,0.6.0,2026-08-02,2026-08-02,[],No reproducible primary item count was exposed for the cataloged source version.
dryad_optic_neuritis_metacontrast,Dichoptic metacontrast masking functions to infer transmission delay in optic neuritis,https://doi.org/10.5061/dryad.cp4j7,0.6.0,2026-08-02,2026-08-02,[],No reproducible primary item count was exposed for the cataloged source version.
dryad_pediatric_secondary_iol,Pediatric Secondary IOL Outcome Dataset,https://doi.org/10.5061/dryad.5t9d1,0.6.0,2026-08-02,2026-08-02,[],No reproducible primary item count was exposed for the cataloged source version.
dryad_pk31jt2,Data from: Low incidence of choroidal neovascularization following subthreshold diode micropulse laser (SDM) in high-risk AMD,https://doi.org/10.5061/dryad.pk31jt2,0.6.0,2026-08-02,2026-08-02,[],No reproducible primary item count was exposed for the cataloged source version.
dryad_pnvx0k6hv,Time trends and associated factors of axial length in 4 and 5 year-olds children in Shanghai from 2013 to 2019,https://doi.org/10.5061/dryad.pnvx0k6hv,0.6.0,2026-08-02,2026-08-02,[],No reproducible primary item count was exposed for the cataloged source version.
dryad_preeclampsia_ocular_octa,Plane wave ultrasound and OCT angiography of the eye in preeclampsia,https://doi.org/10.5061/dryad.j0zpc86kg,0.6.0,2026-08-02,2026-08-02,[],No reproducible primary item count was exposed for the cataloged source version.
dryad_pzgmsbcfw,Anti-vegf therapy in diabetic macular oedema patients over four years,https://doi.org/10.5061/dryad.pzgmsbcfw,0.6.0,2026-08-02,2026-08-02,[],No reproducible primary item count was exposed for the cataloged source version.
dryad_rao_multiomics,Data and code from: Fatty acid metabolism reprograms immune microenvironment in retinal artery occlusion: Multi-Omics analysis highlights immunometabolic crosstalk,https://doi.org/10.5061/dryad.98sf7m0wt,0.6.0,2026-08-02,2026-08-02,[],No reproducible primary item count was exposed for the cataloged source version.
dryad_rn8pk0p70,Socioeconomic status and decreasing incidence of ocular injuries in Bosnia and Herzegovina,https://doi.org/10.5061/dryad.rn8pk0p70,0.6.0,2026-08-02,2026-08-02,[],No reproducible primary item count was exposed for the cataloged source version.
dryad_rop_plane_wave_doppler,ROP Plane-Wave Doppler Dataset,https://doi.org/10.5061/dryad.612jm649r,0.6.0,2026-08-02,2026-08-02,[],No reproducible primary item count was exposed for the cataloged source version.
dryad_rpgr_cone_rod_wes,RPGR Cone-Rod Dystrophy WES Dataset,https://doi.org/10.5061/dryad.5qfttdz5d,0.6.0,2026-08-02,2026-08-02,[],No reproducible primary item count was exposed for the cataloged source version.
dryad_shanghai_myopia_2014_2018,"Age-related change of axial length, spherical equivalent, prevalence of myopia and high myopia in school-age children in Shanghai: 2014 to 2018",https://doi.org/10.5061/dryad.c2fqz615c,0.6.0,2026-08-02,2026-08-02,[],No reproducible primary item count was exposed for the cataloged source version.
dryad_tb_uveitis_ifn,Type 1 interferon-inducible gene expression in QuantiFERON Gold TB-positive uveitis: a tool to stratify a high versus low risk of active tuberculosis?,https://doi.org/10.5061/dryad.8jk03jd,0.6.0,2026-08-02,2026-08-02,[],No reproducible primary item count was exposed for the cataloged source version.
dryad_v6wwpzh1b,Data from: Micropulse transscleral cyclophotocoagulation results in secondary glaucoma,https://doi.org/10.5061/dryad.v6wwpzh1b,0.6.0,2026-08-02,2026-08-02,[],No reproducible primary item count was exposed for the cataloged source version.
dryad_v9p0b,Data from: Retinal capillary rarefaction in patients with untreated mild-moderate hypertension,https://doi.org/10.5061/dryad.v9p0b,0.6.0,2026-08-02,2026-08-02,[],No reproducible primary item count was exposed for the cataloged source version.
dryad_vkh_apoe,VKH APOE Transcriptomics and Proteomics Dataset,https://doi.org/10.5061/dryad.37pvmcvzx,0.6.0,2026-08-02,2026-08-02,[],No reproducible primary item count was exposed for the cataloged source version.
dual_scheimpflug_ss_oct_biometry,Dual Scheimpflug and Swept-Source OCT Biometry Dataset,https://doi.org/10.6084/m9.figshare.16828996.v1,0.6.0,2026-08-02,2026-08-02,[],No reproducible primary item count was exposed for the cataloged source version.
external_eye_blepharitis,External Eye Photographs for Screening Referable Blepharitis,https://data.mendeley.com/datasets/bp37vw4z8d/1,0.6.0,2026-08-02,2026-08-02,[],No reproducible primary item count was exposed for the cataloged source version.
glaucoma_oct_fundus,Glaucoma Detection Dataset with OCT and Fundus Images,https://doi.org/10.6084/m9.figshare.32051124.v1,0.6.0,2026-08-02,2026-08-02,[],No reproducible primary item count was exposed for the cataloged source version.
gleam,GLEAM Multimodal Glaucoma Staging Dataset,https://www.kaggle.com/datasets/zhangyiyinge/gleam-dataset,0.6.0,2026-08-02,2026-08-02,[],No reproducible primary item count was exposed for the cataloged source version.
