doi,title,prior_decision,scope_decision,rationale,normalized_primary_category,normalized_tasks,primary_quantity_count,primary_quantity_unit,research_object_basis,publication_doi,version_number,file_count,total_bytes,matched_existing_record,relationship_type,confidence
10.5061/dryad.pg4f4qrwf,Genotype-phenotype associations in CRB1 bi-allelic patients: a novel mutation and a systematic review,add_now,core_add,Human CRB1 genotype-phenotype records are directly reusable for inherited retinal-disease research.,tabular,regression,439,patients,"Official Dryad current metadata and file listing: 5 files, 202281 bytes.",10.1186/s12886-024-03419-4,4,5,202281,,no_documented_catalog_relationship,high
10.5061/dryad.pk0p2ngzh,Morphometric analysis of retinal ganglionic cells (3D confocal images) analyzed using filament tracer from Imaris software,add_now,adjacent_add,Raw retinal-ganglion-cell confocal volumes and morphometry are directly reusable retinal-biology data.,cell_microscopy,measurement;reconstruction,unknown,unknown,"Official Dryad current metadata and file listing: 12 files, 37594711764 bytes.",,6,12,37594711764,,no_documented_catalog_relationship,high
10.5061/dryad.pk31jt2,Data from: Low incidence of choroidal neovascularization following subthreshold diode micropulse laser (SDM) in high-risk AMD,add_now,core_add,AMD/CNV treatment-outcome table is directly reusable human ophthalmic clinical data.,tabular,progression_analysis,unknown,unknown,"Official Dryad current metadata and file listing: 1 files, 84019 bytes.",10.1371/journal.pone.0202097,1,1,84019,,no_documented_catalog_relationship,high
10.5061/dryad.pnvx0k6hv,Time trends and associated factors of axial length in 4 and 5 year-olds children in Shanghai from 2013 to 2019,add_now,core_add,Pediatric axial-length and corneal-curvature measurements are direct human ocular-biometry data.,tabular,measurement;regression,unknown,unknown,"Official Dryad current metadata and file listing: 1 files, 224849 bytes.",10.1007/s10792-020-01637-5,3,1,224849,,no_documented_catalog_relationship,high
10.5061/dryad.prr4xgxtd,Data from: Functional differences between the extraordinary eyes of deep-sea hyperiid amphipods,add_now,exclude_scope,"Deep-sea amphipod eye micro-CT is comparative visual ecology, not translational ocular biology or ophthalmic imaging.",,,unknown,unknown,"Official Dryad current metadata and file listing: 7 files, 30507962678 bytes.",10.1098/rspb.2024.0239,4,7,30507962678,,no_documented_catalog_relationship,high
10.5061/dryad.pzgmsbcfw,Anti-vegf therapy in diabetic macular oedema patients over four years,add_now,core_add,Anonymized anti-VEGF diabetic-macular-oedema outcomes are direct human ophthalmic clinical data.,tabular,progression_analysis,unknown,unknown,"Official Dryad current metadata and file listing: 2 files, 8699115 bytes.",10.1038/s41433-020-1048-0,9,2,8699115,,no_documented_catalog_relationship,high
10.5061/dryad.pzgmsbcmk,Two-photon calcium recordings of cones,add_now,adjacent_add,"Cone calcium recordings are directly reusable retinal physiology data, despite animal/basic-science provenance.",electrophysiology,measurement,unknown,unknown,"Official Dryad current metadata and file listing: 13 files, 878189959 bytes.",,3,13,878189959,,no_documented_catalog_relationship,high
10.5061/dryad.q83bk3jnw,Disease parameters following ocular herpes simplex virus type 1 infection are similar in male and female BALB/C mice,add_now,adjacent_add,Mouse ocular-HSV keratitis and neovascularization scores directly support ocular disease-mechanism studies.,tabular,measurement,unknown,unknown,"Official Dryad current metadata and file listing: 7 files, 4541161 bytes.",10.1371/journal.pone.0287194,4,7,4541161,,no_documented_catalog_relationship,high
10.5061/dryad.qfttdz0dr,Association of APOE gene polymorphisms with primary open angle glaucoma in Brazilian patients,add_now,core_add,Human POAG case-control genotypes and phenotypes are directly reusable ophthalmic clinical data.,tabular,regression,803,participants,"Official Dryad current metadata and file listing: 1 files, 175479 bytes.",10.1080/13816810.2020.1849314,3,1,175479,,no_documented_catalog_relationship,high
10.5061/dryad.qjq2bvqhb,Sex differences in behavioural and anatomical estimates of visual acuity in the green swordtail Xiphophorus helleri,add_now,exclude_scope,Swordtail visual-acuity and retinal mapping study is comparative sensory ecology rather than ophthalmic or translational ocular research.,,,unknown,unknown,"Official Dryad current metadata and file listing: 4 files, 2124063 bytes.",10.1242/jeb.243420,3,4,2124063,,no_documented_catalog_relationship,high
10.5061/dryad.r2280gbj2,Visual opsin gene expression evolution in the adaptive radiation of cichlid fishes of Lake Tanganyika,add_now,exclude_scope,"Cichlid opsin-expression evolution is comparative ecology/evolution, outside the strict ocular scope.",,,unknown,unknown,"Official Dryad current metadata and file listing: 27 files, 111270728 bytes.",10.1126/sciadv.adg6568,5,27,111270728,,no_documented_catalog_relationship,high
10.5061/dryad.r4xgxd2nt,Restoration of cone circuit functionality in the regenerating adult zebrafish retina,add_now,adjacent_add,Zebrafish retinal-regeneration functional imaging is directly reusable retinal-biology data.,electrophysiology,measurement;restoration,unknown,unknown,"Official Dryad current metadata and file listing: 6 files, 3340308791 bytes.",10.1016/j.devcel.2024.07.005,6,6,3340308791,,no_documented_catalog_relationship,high
10.5061/dryad.r7s04,"Data from: Prevalence of depression, anxiety, adjustment disorders, and somatoform disorders in patients with age-related macular degeneration in Germany",add_now,core_add,AMD-linked mental-health prevalence cohort is a human ophthalmic epidemiology resource.,tabular,demographic_analysis,15160,participants,"Official Dryad current metadata and file listing: 1 files, 1273396 bytes.",10.3205/000245,1,1,1273396,,no_documented_catalog_relationship,high
10.5061/dryad.r7sqv9sqs,Deletion in <em>CACNA1F</em> gene causes X-linked progressive retinal atrophy in English Cocker Spaniel dogs,add_now,adjacent_add,Canine progressive-retinal-atrophy sequencing directly supports inherited retinal-disease mechanism research.,omics,classification,unknown,unknown,"Official Dryad current metadata and file listing: 11 files, 139241181282 bytes.",10.1186/s12917-026-05421-y,4,11,139241181282,,no_documented_catalog_relationship,high
10.5061/dryad.rbnzs7hft,Motor recalibration of visual and saccadic maps,add_now,exclude_scope,"Saccade adaptation and perceptual localization are general visual neuroscience, not an ophthalmic dataset.",,,unknown,unknown,"Official Dryad current metadata and file listing: 6 files, 189105 bytes.",10.1098/rspb.2022.2566,5,6,189105,,no_documented_catalog_relationship,high
