record_id,canonical_name,provider,official_source_url,dataset_identifier,catalog_deposit_version,observed_deposit_version,version_matches_catalog,listing_result,expected_file_count,expected_bytes,source_checksums_available,notes
afio_fundus_vessels,AFIO Fundus Images for Vessel Segmentation and Disease Annotation,mendeley,https://data.mendeley.com/datasets/3csr652p9y/2,3csr652p9y,2,2,True,official_archive_route_confirmed,,194039834,0,Official version-specific Download All ZIP route confirmed. Archive contents are recorded in the content-verification log.
amdnet23,AMDNet23 Fundus Image Dataset for AMD Detection,mendeley,https://data.mendeley.com/datasets/yj35kjgrv3/1,yj35kjgrv3,1,1,True,official_archive_route_confirmed,,602201164,0,Official version-specific Download All ZIP route confirmed. Archive contents are recorded in the content-verification log.
anterior_segment_smile,Anterior Segment Parameters After SMILE Surgery,mendeley,https://data.mendeley.com/datasets/vkdxsnhkrm/1,vkdxsnhkrm,1,1,True,official_archive_route_confirmed,,92839,0,Official version-specific Download All ZIP route confirmed. Archive contents are recorded in the content-verification log.
bajwa_multi_eye,Bajwa Hospital Multi Eye Disease Dataset,mendeley,https://data.mendeley.com/datasets/rgwpd4m785/3,rgwpd4m785,3,3,True,official_archive_route_confirmed,,1793502534,0,Official version-specific Download All ZIP route confirmed. Archive contents are recorded in the content-verification log.
bmrd,Bangladesh Multi-Disease Retinal Dataset,mendeley,https://data.mendeley.com/datasets/959whsbc6v/1,959whsbc6v,1,1,True,official_archive_route_confirmed,,716566961,0,Official version-specific Download All ZIP route confirmed. Archive contents are recorded in the content-verification log.
chronic_corneal_disorders,Chronic Corneal Disorders Clinical Dataset,mendeley,https://data.mendeley.com/datasets/mcwv6thk8m/1,mcwv6thk8m,1,1,True,official_archive_route_confirmed,,16546,0,Official version-specific Download All ZIP route confirmed. Archive contents are recorded in the content-verification log.
corneal_curvature_fundus,Corneal Curvature Prediction Using Fundus Photography,mendeley,https://data.mendeley.com/datasets/bc2jfr7dv9/1,bc2jfr7dv9,1,1,True,official_archive_route_confirmed,,12159219,0,Official version-specific Download All ZIP route confirmed. Archive contents are recorded in the content-verification log.
corneal_epithelium_confocal,Keratoconus Corneal Epithelium Confocal Fluorescence Dataset,mendeley,https://data.mendeley.com/datasets/n3gky25brh/2,n3gky25brh,2,2,True,official_archive_route_confirmed,,204152004,0,Official version-specific Download All ZIP route confirmed. Archive contents are recorded in the content-verification log.
corneal_parameters_kc,Corneal Parameters Keratoconus Study,mendeley,https://data.mendeley.com/datasets/3nz4fkwn3y/1,3nz4fkwn3y,1,1,True,official_archive_route_confirmed,,7696,0,Official version-specific Download All ZIP route confirmed. Archive contents are recorded in the content-verification log.
corneal_tomography_iol,Multi-Parameter Corneal Tomography Dataset for IOL Selection,mendeley,https://data.mendeley.com/datasets/wddj7bh9p9/1,wddj7bh9p9,1,1,True,official_archive_route_confirmed,,19227,0,Official version-specific Download All ZIP route confirmed. Archive contents are recorded in the content-verification log.
csc_fundus_segmentation,Central Serous Chorioretinopathy Fundus Segmentation Dataset,mendeley,https://data.mendeley.com/datasets/4k64fwnp4k/5,4k64fwnp4k,5,5,True,official_archive_route_confirmed,,274795946,0,Official version-specific Download All ZIP route confirmed. Archive contents are recorded in the content-verification log.
data_oct_fundus_glaucoma,Data on OCT and Fundus Images,mendeley,https://data.mendeley.com/datasets/2rnnz5nz74/2,2rnnz5nz74,2,2,True,official_archive_route_confirmed,,34989922,0,Official version-specific Download All ZIP route confirmed. Archive contents are recorded in the content-verification log.
external_eye_blepharitis,External Eye Photographs for Screening Referable Blepharitis,mendeley,https://data.mendeley.com/datasets/bp37vw4z8d/1,bp37vw4z8d,1,1,True,official_archive_route_confirmed,,42027691,0,"The current version-specific Download All route returned an official ZIP archive. Internal files will be enumerated during content inspection. The bearer-token response reflects the retired OAuth audience, not source unavailability."
eye_conjunctiva_segmentation,Eye Conjunctiva Segmentation Dataset,mendeley,https://data.mendeley.com/datasets/yxwjgcndg2/1,yxwjgcndg2,1,1,True,official_archive_route_confirmed,,4577144882,0,Official version-specific Download All ZIP route confirmed. Archive contents are recorded in the content-verification log.
eye_disease_image_mendeley,Eye Disease Image Dataset,mendeley,https://data.mendeley.com/datasets/s9bfhswzjb/1,s9bfhswzjb,1,1,True,official_archive_route_confirmed,,3939804873,0,Official version-specific Download All ZIP route confirmed. Archive contents are recorded in the content-verification log.
eyecatcher_visual_field,Eyecatcher Tablet-Based Visual Field Home-Monitoring Data,mendeley,https://data.mendeley.com/datasets/swsfj47cxw/2,swsfj47cxw,2,2,True,official_archive_route_confirmed,,21074,0,Official version-specific Download All ZIP route confirmed. Archive contents are recorded in the content-verification log.
fimd,Fundus Image Myopia Development Dataset,mendeley,https://data.mendeley.com/datasets/jkzsh6pcv4/1,jkzsh6pcv4,1,1,True,official_archive_route_confirmed,,152456326,0,Official version-specific Download All ZIP route confirmed. Archive contents are recorded in the content-verification log.
