record_id,canonical_name,dataset_doi,source_version,source_title,expected_file_count,expected_bytes,source_data_origin,population_scope,population_evidence,file_review_level,structure_summary,data_granularity,plausible_model_use,evidence_basis,model_use_decision,headline_catalog_included,reason,related_catalog_record_ids_or_names,confidence,review_date
dryad_5xfad_retina_dlgn,5xFAD Retina and dLGN Disease-Model Dataset,10.5061/dryad.dbrv15fbk,2,Influence of amyloid pathology on retina and dLGN in 5xFAD mouse model,2,108816,nonhuman_or_nonhuman_derived,mouse,"Influence of amyloid pathology on retina and dLGN in 5xFAD mouse model Alzheimer’s disease (AD) is a neurodegenerative disorder characterized by the formation of amyloid beta plaques and neurofibrillary tangles that leads to decreased quality of life due to behavioral, motor, and cognitive impairments.",complete_current_deposit_structurally_inspected,"complete_small_deposit_structure_reviewed: text=1, xlsx_workbook=1","mouse observations, tissues, images, signals, or sequences",Not applicable under the human-only screening boundary.,"Official Dryad title/abstract/methods identify mouse; current file listing reviewed (complete_small_deposit_structure_reviewed: text=1, xlsx_workbook=1).",excluded_nonhuman_or_nonhuman_derived,False,Influence of amyloid pathology on retina and dLGN in 5xFAD mouse model is explicitly mouse; no separable human participant or human-derived component is documented.,,high,2026-08-02
dryad_acanthamoeba_keratitis_transcriptome,Human conjunctival transcriptome in Acanthamoeba keratitis: An exploratory study,10.5061/dryad.k3j9kd5fx,4,Data from: Human conjunctival transcriptome in Acanthamoeba keratitis: An exploratory study,4,5160475,human_participant_or_patient_data,human_participant_or_patient_data,Data from: Human conjunctival transcriptome in Acanthamoeba keratitis: An exploratory study The host conjunctival transcriptome of 9 patients with Acanthamoeba keratitis (AK) is compared to the conjunctival transcriptome of 13 patients with keratitis and no identified pathogen.,complete_current_deposit_structurally_inspected,"complete_small_deposit_structure_reviewed: delimited_table=2, text=2",sample-by-gene conjunctival RNA count matrix with 22-sample metadata,keratitis-group expression classification or biomarker evaluation,"Official Dryad title/abstract/methods and complete structural inspection; named deposited files include conj_transcriptome_metadata.csv, conj_transcriptome_stringtie2_counts_md5-9660d96d.csv, ENSG_ID2Name.txt, README.md.",included_human_or_human_derived_model_resource,True,"The deposit documents sample-by-gene conjunctival RNA count matrix with 22-sample metadata, providing structured human-derived inputs and/or targets for keratitis-group expression classification or biomarker evaluation.",,high,2026-08-02
dryad_amd_zinc_complement,AMD Zinc Complement Dataset,10.5061/dryad.3gq6t,1,Data from: Zinc supplementation inhibits complement activation in age-related macular degeneration,2,62634,human_participant_or_patient_data,human_participant_or_patient_data,Data from: Zinc supplementation inhibits complement activation in age-related macular degeneration Age-related macular degeneration (AMD) is the leading cause of blindness in the Western world.,complete_current_deposit_structurally_inspected,"complete_small_deposit_structure_reviewed: text=1, xls_workbook=1","72 participant longitudinal complement, genotype, visual-acuity, and treatment measurements",treatment-response or complement-activation prediction,"Official Dryad title/abstract/methods and complete structural inspection; named deposited files include README_for_Zinc supplementation inhibits complement activation in age-related macular degeneration.txt, Zinc supplementation inhibits complement activation in age-related macular degeneration.xls.",included_human_or_human_derived_model_resource,True,"The deposit documents 72 participant longitudinal complement, genotype, visual-acuity, and treatment measurements, providing structured human-derived inputs and/or targets for treatment-response or complement-activation prediction.",,high,2026-08-02
dryad_angle_closure_rabbit,Expression of matrix Metalloproteinases-2 and aquaporin-1 in corneoscleral junction after angle-closure in rabbits,10.5061/dryad.ks48tt4,1,Data from: Expression of matrix Metalloproteinases-2 and aquaporin-1 in corneoscleral junction after angle-closure in rabbits,21,133769410,nonhuman_or_nonhuman_derived,rabbit,Data from: Expression of matrix Metalloproteinases-2 and aquaporin-1 in corneoscleral junction after angle-closure in rabbits Background: To investigate the expression of Matrix Metalloproteinases 2 and aquaporin-1 in corneoscleral junction and explore the mechanism of trabecular damageafter angle-closure.,complete_official_file_listing,official_current_version_file_listing_reviewed,"rabbit observations, tissues, images, signals, or sequences",Not applicable under the human-only screening boundary.,Official Dryad title/abstract/methods identify rabbit; current file listing reviewed (official_current_version_file_listing_reviewed).,excluded_nonhuman_or_nonhuman_derived,False,Data from: Expression of matrix Metalloproteinases-2 and aquaporin-1 in corneoscleral junction after angle-closure in rabbits is explicitly rabbit; no separable human participant or human-derived component is documented.,,high,2026-08-02
dryad_aoslo_rpe,AOSLO RPE Cell Morphometry and Cone Mosaic Dataset,10.5061/dryad.b41j15h,1,"Data from: Human retinal pigment epithelium: in vivo cell morphometry, multispectral autofluorescence, and relationship to cone mosaic",20,84397437,human_participant_or_patient_data,human_participant_or_patient_data,"Data from: Human retinal pigment epithelium: in vivo cell morphometry, multispectral autofluorescence, and relationship to cone mosaic Purpose: To characterize in vivo morphometry and multispectral autofluorescence of the retinal pigment epithelial (RPE) cell mosaic and its relationship to cone cell topography across the macula.",complete_current_deposit_structurally_inspected,"complete_small_deposit_structure_reviewed: text=10, zip_archive=10",participant/eye AOSLO image archives and RPE/cone morphometry,retinal cell-morphometry or image-analysis evaluation,"Official Dryad title/abstract/methods and official current-version file listing; named deposited files include NOR011.zip, NOR025.zip, NOR047.zip, NOR053.zip.",included_human_or_human_derived_model_resource,True,"The deposit documents participant/eye AOSLO image archives and RPE/cone morphometry, providing structured human-derived inputs and/or targets for retinal cell-morphometry or image-analysis evaluation.",,medium,2026-08-02
dryad_bariatric_ophthalmology,Bariatric Surgery Ophthalmic Evaluation Dataset,10.5061/dryad.1g6vm34,1,"Data from: Ophthalmologic evaluation of severely obese patients undergoing bariatric surgery: a pilot, monocentric, prospective, open-label study",1,32456,human_participant_or_patient_data,human_participant_or_patient_data,Conclusions: The results of this study suggest that obese patients may have a greater susceptibility to develop glaucomatous optic nerve head damage and age-related macular degeneration.,complete_current_deposit_structurally_inspected,complete_small_deposit_structure_reviewed: xlsx_workbook=1,57-patient baseline and follow-up ophthalmic/OCT workbook,longitudinal retinal-thickness or risk regression,Official Dryad title/abstract/methods and complete structural inspection; named deposited files include Completedataset.xlsx.,included_human_or_human_derived_model_resource,True,"The deposit documents 57-patient baseline and follow-up ophthalmic/OCT workbook, providing structured human-derived inputs and/or targets for longitudinal retinal-thickness or risk regression.",,high,2026-08-02
dryad_bbs1_retinal_degeneration,BBS1 Retinal Degeneration Mouse Dataset,10.5061/dryad.2rbnzs7jm,6,"Ectopic expression of BBS1 rescues male infertility, but not retinal degeneration, in a BBS1 mouse model",1,58847,nonhuman_or_nonhuman_derived,mouse,"Ectopic expression of BBS1 rescues male infertility, but not retinal degeneration, in a BBS1 mouse model Bardet-Biedl syndrome (BBS) is a rare ciliopathy for which there are no current effective treatments.",complete_current_deposit_structurally_inspected,complete_small_deposit_structure_reviewed: xlsx_workbook=1,"mouse observations, tissues, images, signals, or sequences",Not applicable under the human-only screening boundary.,Official Dryad title/abstract/methods identify mouse; current file listing reviewed (complete_small_deposit_structure_reviewed: xlsx_workbook=1).,excluded_nonhuman_or_nonhuman_derived,False,"Ectopic expression of BBS1 rescues male infertility, but not retinal degeneration, in a BBS1 mouse model  is explicitly mouse; no separable human participant or human-derived component is documented.",,high,2026-08-02
dryad_biocular_eye_tracking,Bi-Ocular Vertebrate Eye-Tracking Dataset,10.5061/dryad.84hc0,1,Data from: A novel system for bi-ocular eye-tracking in vertebrates with laterally placed eyes,2,108554,nonhuman_or_nonhuman_derived,bird,Data from: A novel system for bi-ocular eye-tracking in vertebrates with laterally placed eyes 1.,complete_current_deposit_structurally_inspected,complete_small_deposit_structure_reviewed: xlsx_workbook=2,"bird observations, tissues, images, signals, or sequences",Not applicable under the human-only screening boundary.,Official Dryad title/abstract/methods identify bird; current file listing reviewed (complete_small_deposit_structure_reviewed: xlsx_workbook=2).,excluded_nonhuman_or_nonhuman_derived,False,Data from: A novel system for bi-ocular eye-tracking in vertebrates with laterally placed eyes is explicitly bird; no separable human participant or human-derived component is documented.,,high,2026-08-02
dryad_brvo_bevacizumab_multimodal,BRVO Bevacizumab Multimodal Dataset,10.5061/dryad.3cp54,1,"Data from: Analysis of potential ischemic effect of intravitreal bevacizumab on unaffected retina in treatment-naïve macular edema due to branch retinal vein occlusion: a prospective, interventional case-series",3,61440336,human_participant_or_patient_data,human_participant_or_patient_data,"Data from: Analysis of potential ischemic effect of intravitreal bevacizumab on unaffected retina in treatment-naïve macular edema due to branch retinal vein occlusion: a prospective, interventional case-series",complete_current_deposit_structurally_inspected,complete_small_deposit_structure_reviewed: file_type_confirmed=3,"eye-level OCT, fluorescein, and mfERG archives from a BRVO treatment cohort",multimodal retinal measurement or treatment-response modeling,"Official Dryad title/abstract/methods and official current-version file listing; named deposited files include 20160827Fluorescein.rar, 20160827mfERG.rar, 20160827OCT.rar.",included_human_or_human_derived_model_resource,True,"The deposit documents eye-level OCT, fluorescein, and mfERG archives from a BRVO treatment cohort, providing structured human-derived inputs and/or targets for multimodal retinal measurement or treatment-response modeling.",,medium,2026-08-02
dryad_canine_pra_cea_genotypes,Canine PRA and CEA Genotype Dataset,10.5061/dryad.6djh9w17c,5,Data for: Global frequency analyses of canine progressive rod-cone degeneration–progressive retinal atrophy and collie eye anomaly using commercial genetic testing data,2,5825605,nonhuman_or_nonhuman_derived,canine,"Data for: Global frequency analyses of canine progressive rod-cone degeneration–progressive retinal atrophy and collie eye anomaly using commercial genetic testing data Hundreds of genetic variants associated with canine traits and disorders have been identified, with commercial tests offered.",complete_current_deposit_structurally_inspected,"complete_small_deposit_structure_reviewed: text=1, xlsx_workbook=1","canine observations, tissues, images, signals, or sequences",Not applicable under the human-only screening boundary.,"Official Dryad title/abstract/methods identify canine; current file listing reviewed (complete_small_deposit_structure_reviewed: text=1, xlsx_workbook=1).",excluded_nonhuman_or_nonhuman_derived,False,Data for: Global frequency analyses of canine progressive rod-cone degeneration–progressive retinal atrophy and collie eye anomaly using commercial genetic testing data is explicitly canine; no separable human participant or human-derived component is documented.,,high,2026-08-02
