record_id,canonical_name,verification_date,verification_level,official_source_checked,preferred_route_checked,preferred_route_type,resolved_destination,dataset_specific_page_confirmed_by_curator,current_route_visible,authentication_state,access_friction,availability_status,route_check_result,automated_probe_status,automated_probe_http_status,failure_or_limitation,curator,author_source_checked,source_terms_evidence_url,dataset_files_transferred_for_this_row,environment
acrima,ACRIMA: Glaucoma Optic Disc Fundus Database,2026-07-21,route_confirmed,https://figshare.com/s/c2d31f850af14c5b5232,https://figshare.com/s/c2d31f850af14c5b5232,official_repository,https://figshare.com/s/c2d31f850af14c5b5232,true,true,user_authentication_required,self_service_authenticated,available,author_source_checked,ok,202,Author-conducted source check; transfer completeness was evaluated separately.,EyeDataHub author team,true,https://figshare.com/s/c2d31f850af14c5b5232,not_assessed_in_access_verification_log,Windows | Python 3.13.13 | EyeDataHub 0.7.0
adam_challenge,ADAM — Automatic Detection of AMD Challenge,2026-07-21,route_confirmed,https://drive.google.com/file/d/1Uz5x0aqXb0aecjzNWQ4522oCxaRDZxBt/view,https://drive.google.com/file/d/1Uz5x0aqXb0aecjzNWQ4522oCxaRDZxBt/view,cloud_file_share,https://drive.google.com/file/d/1Uz5x0aqXb0aecjzNWQ4522oCxaRDZxBt/view,true,true,user_clickthrough_required,controlled_or_manual,available,author_source_checked,ok,200,Author-conducted source check; transfer completeness was evaluated separately.,EyeDataHub author team,true,https://drive.google.com/file/d/1Uz5x0aqXb0aecjzNWQ4522oCxaRDZxBt/view,not_assessed_in_access_verification_log,Windows | Python 3.13.13 | EyeDataHub 0.7.0
afio_fundus_vessels,AFIO Fundus Images for Vessel Segmentation and Disease Annotation,2026-07-21,route_confirmed,https://data.mendeley.com/datasets/3csr652p9y/2,https://data.mendeley.com/datasets/3csr652p9y/2,official_repository,https://data.mendeley.com/datasets/3csr652p9y/2,true,true,user_authentication_required,self_service_authenticated,available,author_source_checked,platform_or_browser_route,403,Author-conducted source check; transfer completeness was evaluated separately.,EyeDataHub author team,true,https://data.mendeley.com/datasets/3csr652p9y/2,not_assessed_in_access_verification_log,Windows | Python 3.13.13 | EyeDataHub 0.7.0
agar300,AGAR300 Microaneurysm Fundus Image Dataset,2026-07-21,route_confirmed,https://ieee-dataport.org/open-access/diabetic-retinopathy-fundus-image-datasetagar300,https://ieee-dataport.org/open-access/diabetic-retinopathy-fundus-image-datasetagar300,documented_manual_route,https://ieee-dataport.org/open-access/diabetic-retinopathy-fundus-image-datasetagar300,true,true,user_authentication_required,self_service_authenticated,available,acquisition_route_verified,ok,200,Author-conducted source check; transfer completeness was evaluated separately.,EyeDataHub author team,true,https://ieee-dataport.org/open-access/diabetic-retinopathy-fundus-image-datasetagar300,not_assessed_in_access_verification_log,Windows | Python 3.13.13 | EyeDataHub 0.7.0
age_challenge,AGE — Angle-Closure Glaucoma Evaluation Challenge (AS-OCT),2026-07-21,route_confirmed,https://drive.google.com/file/d/1Qlkqj74SW8DJRKdYL_-ApC_0H5Z7uyvr/view,https://drive.google.com/file/d/1Qlkqj74SW8DJRKdYL_-ApC_0H5Z7uyvr/view,cloud_file_share,https://drive.google.com/file/d/1Qlkqj74SW8DJRKdYL_-ApC_0H5Z7uyvr/view,true,true,user_clickthrough_required,controlled_or_manual,available,author_source_checked,ok,200,Author-conducted source check; transfer completeness was evaluated separately.,EyeDataHub author team,true,https://drive.google.com/file/d/1Qlkqj74SW8DJRKdYL_-ApC_0H5Z7uyvr/view,not_assessed_in_access_verification_log,Windows | Python 3.13.13 | EyeDataHub 0.7.0
airogs,AIROGS: AI for Robust Glaucoma Screening,2026-07-21,route_confirmed,https://zenodo.org/records/5793241,https://zenodo.org/records/5793241,official_direct,https://zenodo.org/records/5793241,true,true,unauthenticated,anonymous_direct,available,author_source_checked,platform_or_browser_route,403,Author-conducted source check; transfer completeness was evaluated separately.,EyeDataHub author team,true,https://zenodo.org/records/5793241,not_assessed_in_access_verification_log,Windows | Python 3.13.13 | EyeDataHub 0.7.0
amd_dme_3d_oct,Comprehensive 3D OCT Dataset for AMD and DME,2026-07-21,route_confirmed,https://doi.org/10.6084/m9.figshare.30582035.v1,https://doi.org/10.6084/m9.figshare.30582035.v1,official_repository,https://figshare.com/articles/dataset/Comprehensive_3D_Optical_Coherence_Tomography_Dataset_for_AMD_and_DME_Facilitating_Deep-Learning-Based_3D_Segmentation/30582035/1,true,true,user_authentication_required,self_service_authenticated,available,author_source_checked,ok,202,Author-conducted source check; transfer completeness was evaluated separately.,EyeDataHub author team,true,https://doi.org/10.6084/m9.figshare.30582035.v1,not_assessed_in_access_verification_log,Windows | Python 3.13.13 | EyeDataHub 0.7.0
amd_sd,AMD-SD: OCT Wet AMD Lesion Segmentation Dataset,2026-07-21,route_confirmed,https://www.kaggle.com/datasets/gaoweihao/amd-sd,https://www.kaggle.com/datasets/gaoweihao/amd-sd,data_platform,https://www.kaggle.com/datasets/gaoweihao/amd-sd,true,true,api_token_required_not_stored,self_service_authenticated,available,author_source_checked,ok,200,Author-conducted source check; transfer completeness was evaluated separately.,EyeDataHub author team,true,https://www.kaggle.com/datasets/gaoweihao/amd-sd,not_assessed_in_access_verification_log,Windows | Python 3.13.13 | EyeDataHub 0.7.0
amdnet23,AMDNet23 Fundus Image Dataset for AMD Detection,2026-07-21,route_confirmed,https://data.mendeley.com/datasets/yj35kjgrv3/1,https://data.mendeley.com/datasets/yj35kjgrv3/1,official_repository,https://data.mendeley.com/datasets/yj35kjgrv3/1,true,true,user_authentication_required,self_service_authenticated,available,author_source_checked,platform_or_browser_route,403,Author-conducted source check; transfer completeness was evaluated separately.,EyeDataHub author team,true,https://data.mendeley.com/datasets/yj35kjgrv3/1,not_assessed_in_access_verification_log,Windows | Python 3.13.13 | EyeDataHub 0.7.0
angioreport,AngioReport Fundus Angiography Report Dataset,2026-07-21,route_confirmed,https://tianchi.aliyun.com/dataset/170128,https://tianchi.aliyun.com/dataset/170128,documented_manual_route,https://tianchi.aliyun.com/dataset/170128,true,true,user_authentication_required,self_service_clickthrough,available,acquisition_route_verified,ok,200,Author-conducted source check; transfer completeness was evaluated separately.,EyeDataHub author team,true,https://tianchi.aliyun.com/dataset/170128,not_assessed_in_access_verification_log,Windows | Python 3.13.13 | EyeDataHub 0.7.0
anterior_segment_smile,Anterior Segment Parameters After SMILE Surgery,2026-07-21,route_confirmed,https://data.mendeley.com/datasets/vkdxsnhkrm/1,https://data.mendeley.com/datasets/vkdxsnhkrm/1,official_repository,https://data.mendeley.com/datasets/vkdxsnhkrm/1,true,true,user_authentication_required,self_service_authenticated,available,author_source_checked,platform_or_browser_route,403,Author-conducted source check; transfer completeness was evaluated separately.,EyeDataHub author team,true,https://data.mendeley.com/datasets/vkdxsnhkrm/1,not_assessed_in_access_verification_log,Windows | Python 3.13.13 | EyeDataHub 0.7.0
anterior_uveitis_corneal_endothelium,Anterior Uveitis Corneal Endothelium Dataset,2026-08-02,route_confirmed,https://doi.org/10.6084/m9.figshare.32054064.v1,https://doi.org/10.6084/m9.figshare.32054064.v1,official_repository,https://figshare.com/articles/dataset/Minimal_dataset_for_Corneal_endothelial_changes_in_anterior_uveitis/32054064/1,true,true,api_token_required_not_stored,self_service_authenticated,available,official_metadata_and_file_listing_checked,ok,202,No data files were transferred during source confirmation.,EyeDataHub author team,true,https://doi.org/10.6084/m9.figshare.32054064.v1,not_assessed_in_access_verification_log,Windows | Python 3.13.13 | EyeDataHub 0.7.0
aod,AOD: Augmented Ocular Diseases Dataset,2026-07-21,route_confirmed,https://www.kaggle.com/datasets/nurmukhammed7/augemnted-ocular-diseases,https://www.kaggle.com/datasets/nurmukhammed7/augemnted-ocular-diseases,data_platform,https://www.kaggle.com/datasets/nurmukhammed7/augemnted-ocular-diseases,true,true,api_token_required_not_stored,self_service_authenticated,available,author_source_checked,ok,200,Author-conducted source check; transfer completeness was evaluated separately.,EyeDataHub author team,true,https://www.kaggle.com/datasets/nurmukhammed7/augemnted-ocular-diseases,not_assessed_in_access_verification_log,Windows | Python 3.13.13 | EyeDataHub 0.7.0
aptos2019,APTOS 2019 Blindness Detection,2026-07-21,route_confirmed,https://www.kaggle.com/c/aptos2019-blindness-detection,https://www.kaggle.com/c/aptos2019-blindness-detection,data_platform,https://www.kaggle.com/c/aptos2019-blindness-detection,true,true,api_token_required_not_stored,self_service_clickthrough,available,credentials_or_access_setup_required,ok,200,Author-conducted source check; transfer completeness was evaluated separately. HTTP 401 from an automated Kaggle listing probe; platform credentials or access setup are required for the probe.,EyeDataHub author team,true,https://www.kaggle.com/c/aptos2019-blindness-detection,not_assessed_in_access_verification_log,Windows | Python 3.13.13 | EyeDataHub 0.7.0
aptos_arcade_onh_masks,APTOS Vascular Arcade and Optic Nerve Head Masks,2026-07-21,route_confirmed,https://zenodo.org/records/20711325,https://zenodo.org/records/20711325,official_repository,https://zenodo.org/records/20711325,true,true,user_authentication_required,self_service_authenticated,available,author_source_checked,platform_or_browser_route,403,Author-conducted source check; transfer completeness was evaluated separately.,EyeDataHub author team,true,https://zenodo.org/records/20711325,not_assessed_in_access_verification_log,Windows | Python 3.13.13 | EyeDataHub 0.7.0
aqp4_optic_neuritis_oct_layers,AQP4 Optic Neuritis OCT Layers Dataset,2026-08-02,route_confirmed,https://doi.org/10.6084/m9.figshare.3209908.v1,https://doi.org/10.6084/m9.figshare.3209908.v1,official_repository,https://figshare.com/articles/dataset/The_dataset_for_study_Structural_Alterations_of_Segmented_Macular_Inner_Layers_in_Aquaporin4-Antibody-Positive_Optic_Neuritis_Patients_in_a_Chinese_Population_/3209908/1,true,true,api_token_required_not_stored,self_service_authenticated,available,official_metadata_and_file_listing_checked,ok,202,No data files were transferred during source confirmation.,EyeDataHub author team,true,https://doi.org/10.6084/m9.figshare.3209908.v1,not_assessed_in_access_verification_log,Windows | Python 3.13.13 | EyeDataHub 0.7.0
aroi,AROI: Annotated Retinal OCT Images Database,2026-07-21,route_confirmed,https://drive.google.com/file/d/10Ys4xsw81evjHewZEvqHy4Kri0my8C2S/view,https://drive.google.com/file/d/10Ys4xsw81evjHewZEvqHy4Kri0my8C2S/view,cloud_file_share,https://drive.google.com/file/d/10Ys4xsw81evjHewZEvqHy4Kri0my8C2S/view,true,true,unauthenticated,anonymous_direct,available,author_source_checked,ok,200,Author-conducted source check; transfer completeness was evaluated separately.,EyeDataHub author team,true,https://drive.google.com/file/d/10Ys4xsw81evjHewZEvqHy4Kri0my8C2S/view,not_assessed_in_access_verification_log,Windows | Python 3.13.13 | EyeDataHub 0.7.0
aroma_octa,AROMA Retinal OCTA Artifact Dataset,2026-07-21,route_confirmed,https://doi.org/10.5281/zenodo.18258095,https://doi.org/10.5281/zenodo.18258095,official_repository,https://zenodo.org/doi/10.5281/zenodo.18258095,true,true,user_authentication_required,self_service_authenticated,available,author_source_checked_with_probe_limitation,forbidden,403,Author-conducted source check; transfer completeness was evaluated separately. Automated probe status: forbidden; reachability alone was not used to classify access.,EyeDataHub author team,true,https://doi.org/10.5281/zenodo.18258095,not_assessed_in_access_verification_log,Windows | Python 3.13.13 | EyeDataHub 0.7.0
as_oct_keratitis,AS-OCT Keratitis Segmentation Dataset,2026-07-21,route_confirmed,https://doi.org/10.6084/m9.figshare.c.7036994.v1,https://doi.org/10.6084/m9.figshare.c.7036994.v1,official_repository,https://springernature.figshare.com/collections/AIDK_An_AS-OCT_image_dataset_for_deep_learning-enabled_segmentation_and_3D_reconstruction_for_keratitis/7036994/1,true,true,user_authentication_required,self_service_authenticated,available,author_source_checked,ok,202,Author-conducted source check; transfer completeness was evaluated separately.,EyeDataHub author team,true,https://doi.org/10.6084/m9.figshare.c.7036994.v1,not_assessed_in_access_verification_log,Windows | Python 3.13.13 | EyeDataHub 0.7.0
asd_eye_tracking,Autism Spectrum Disorder Eye-Tracking Dataset,2026-08-02,route_confirmed,https://doi.org/10.6084/m9.figshare.20113592.v1,https://doi.org/10.6084/m9.figshare.20113592.v1,official_repository,https://figshare.com/articles/dataset/Eye-Tracking_Dataset_to_Support_the_Research_on_Autism_Spectrum_Disorder/20113592/1,true,true,api_token_required_not_stored,self_service_authenticated,available,official_metadata_and_file_listing_checked,ok,202,No data files were transferred during source confirmation.,EyeDataHub author team,true,https://doi.org/10.6084/m9.figshare.20113592.v1,not_assessed_in_access_verification_log,Windows | Python 3.13.13 | EyeDataHub 0.7.0
bajwa_multi_eye,Bajwa Hospital Multi Eye Disease Dataset,2026-07-21,route_confirmed,https://data.mendeley.com/datasets/rgwpd4m785/3,https://data.mendeley.com/datasets/rgwpd4m785/3,official_repository,https://data.mendeley.com/datasets/rgwpd4m785/3,true,true,user_authentication_required,self_service_authenticated,available,author_source_checked,platform_or_browser_route,403,Author-conducted source check; transfer completeness was evaluated separately.,EyeDataHub author team,true,https://data.mendeley.com/datasets/rgwpd4m785/3,not_assessed_in_access_verification_log,Windows | Python 3.13.13 | EyeDataHub 0.7.0
beh,BEH: Bangladesh Eye Hospital Glaucoma Dataset,2026-07-21,route_confirmed,https://drive.google.com/file/d/1YdZm-sioiAbTdBRy4oej1q6tZL8Baft7,https://drive.google.com/file/d/1YdZm-sioiAbTdBRy4oej1q6tZL8Baft7,cloud_file_share,https://drive.google.com/file/d/1YdZm-sioiAbTdBRy4oej1q6tZL8Baft7/edit,true,true,unauthenticated,anonymous_direct,available,author_source_checked,ok,200,Author-conducted source check; transfer completeness was evaluated separately.,EyeDataHub author team,true,https://drive.google.com/file/d/1YdZm-sioiAbTdBRy4oej1q6tZL8Baft7,not_assessed_in_access_verification_log,Windows | Python 3.13.13 | EyeDataHub 0.7.0
belo,BELO Benchmark for Evaluating Language Models in Ophthalmology,2026-07-21,route_confirmed,https://belo-dataset.vercel.app/,https://belo-dataset.vercel.app/,documented_manual_route,https://belo-dataset.vercel.app/,true,true,author_correspondence_required,author_contact,available,author_source_checked,ok,200,Author-conducted source check; transfer completeness was evaluated separately.,EyeDataHub author team,true,https://belo-dataset.vercel.app/,not_assessed_in_access_verification_log,Windows | Python 3.13.13 | EyeDataHub 0.7.0
binocular_fundus_images,Binocular Fundus Image Dataset,2026-08-02,route_confirmed,https://doi.org/10.6084/m9.figshare.31981557.v1,https://doi.org/10.6084/m9.figshare.31981557.v1,official_repository,https://figshare.com/articles/dataset/binocular_fundus_image_dataset/31981557/1,true,true,api_token_required_not_stored,self_service_authenticated,available,official_metadata_and_file_listing_checked,ok,202,No data files were transferred during source confirmation.,EyeDataHub author team,true,https://doi.org/10.6084/m9.figshare.31981557.v1,not_assessed_in_access_verification_log,Windows | Python 3.13.13 | EyeDataHub 0.7.0
birdshot_wide,Birdshot-WIDE Widefield Fundus Dataset,2026-07-21,route_confirmed,https://doi.org/10.5281/zenodo.19474623,https://doi.org/10.5281/zenodo.19474623,documented_manual_route,https://zenodo.org/doi/10.5281/zenodo.19474623,true,true,manual_authorization_required,controlled_or_manual,available,author_source_checked_with_probe_limitation,forbidden,403,Author-conducted source check; transfer completeness was evaluated separately. Automated probe status: forbidden; reachability alone was not used to classify access.,EyeDataHub author team,true,https://doi.org/10.5281/zenodo.19474623,not_assessed_in_access_verification_log,Windows | Python 3.13.13 | EyeDataHub 0.7.0
