name,full_name,description,modality,tasks,num_samples,splits,classes,num_classes,image_size,download_type,download_url,license,citation,tags,size_gb,notes,primary_category,modalities,item_count_unit,reported_quantities,source_landing_page_url,preferred_route_type,preferred_route_url,access_friction,requires_registration,requires_authentication,requires_api_token,requires_clickthrough,requires_manual_approval,requires_data_use_agreement,requires_author_contact,requires_payment,geographic_or_institutional_restriction,availability_status,route_last_checked,route_check_result,route_check_notes,acquisition_support,loader_backend,loader_name,loader_version,loader_live_tested,loader_test_date,loader_test_scope,loader_test_result,tested_command,failure_reason,source_terms,terms_evidence_url,terms_scope,terms_component_notes,dataset_doi,dataset_accession,repository_record_id,associated_publication_doi,software_doi,challenge_identifier,resource_version,canonical_resolver_url,alternate_sources,relationships,item_count_evidence_url,modality_evidence_url,task_evidence_url,citation_evidence_url,author_source_checked,source_check_date,source_check_status,access_check_status,transfer_check_status,record_id,canonical_name,normalized_source_term_category,license_family,resource_role,resource_role_definition,dataset_family_id,current_catalog_record
acrima,ACRIMA: Glaucoma Optic Disc Fundus Database,705 optic disc-centred fundus photographs (396 normal + 309 glaucoma) from Hospital Clinico San Carlos. Expert-annotated binary glaucoma classification.,fundus,"[""classification""]",705,"[""train""]","[""Normal"", ""Glaucoma""]",2,,figshare,https://figshare.com/s/c2d31f850af14c5b5232,CC BY 4.0,"Diaz-Pinto et al., 'Retinal Image Synthesis and Semi-Supervised Learning for Glaucoma Assessment', IEEE TMI 2019. Data: https://figshare.com/s/c2d31f850af14c5b5232","[""glaucoma"", ""fundus"", ""figshare"", ""classification"", ""optic_disc""]",0.5,,fundus,"[""fundus""]",images,"[{""count"": 705, ""evidence_basis"": ""legacy_catalog_field"", ""evidence_url"": ""https://figshare.com/s/c2d31f850af14c5b5232"", ""exactness"": ""not_assessed"", ""notes"": """", ""primary"": true, ""review_date"": ""2026-08-01"", ""scope"": ""Primary quantity reported in the reviewed catalog source"", ""unit"": ""images""}]",https://figshare.com/s/c2d31f850af14c5b5232,official_repository,https://figshare.com/s/c2d31f850af14c5b5232,self_service_authenticated,True,True,,False,False,False,False,False,unknown,available,2026-07-21,author_source_checked,Author-conducted source check; transfer completeness was evaluated separately.,guided_instructions_only,figshare,figshare_loader,0.4.0,False,,unit_or_mocked_only,not_live_tested,,,CC BY 4.0,https://figshare.com/s/c2d31f850af14c5b5232,dataset_files,Review the cited source for component-specific terms.,,,s/c2d31f850af14c5b5232,,,,,https://figshare.com/s/c2d31f850af14c5b5232,[],[],https://figshare.com/s/c2d31f850af14c5b5232,https://figshare.com/s/c2d31f850af14c5b5232,https://figshare.com/s/c2d31f850af14c5b5232,https://figshare.com/s/c2d31f850af14c5b5232,True,2026-07-21,checked_against_cited_source,author_source_checked,not_live_tested,acrima,ACRIMA: Glaucoma Optic Disc Fundus Database,cc-by,cc-by,current_dataset,A current cataloged data product without a more specific structural role.,acrima,True
adam_challenge,ADAM — Automatic Detection of AMD Challenge,"1200 fundus images for AMD classification, five-class lesion segmentation, fovea/optic disc localisation.",fundus,"[""classification"", ""segmentation""]",1200,"[""train"", ""val"", ""test""]","[""non-AMD"", ""AMD""]",2,,gdrive,https://drive.google.com/file/d/1Uz5x0aqXb0aecjzNWQ4522oCxaRDZxBt/view,Challenge data-use agreement (IEEE DataPort),"Fang H. et al., 'ADAM Challenge: Detecting AMD from Fundus Images', IEEE TMI 2022.","[""fundus"", ""amd"", ""classification"", ""segmentation"", ""ichallenge""]",1.5,,fundus,"[""fundus""]",images,"[{""count"": 1200, ""evidence_basis"": ""legacy_catalog_field"", ""evidence_url"": ""https://drive.google.com/file/d/1Uz5x0aqXb0aecjzNWQ4522oCxaRDZxBt/view"", ""exactness"": ""not_assessed"", ""notes"": """", ""primary"": true, ""review_date"": ""2026-08-01"", ""scope"": ""Primary quantity reported in the reviewed catalog source"", ""unit"": ""images""}]",https://drive.google.com/file/d/1Uz5x0aqXb0aecjzNWQ4522oCxaRDZxBt/view,cloud_file_share,https://drive.google.com/file/d/1Uz5x0aqXb0aecjzNWQ4522oCxaRDZxBt/view,controlled_or_manual,False,False,,True,True,True,,,unknown,available,2026-07-21,author_source_checked,Author-conducted source check; transfer completeness was evaluated separately.,manual_access_blocked,gdrive,gdrive_loader,0.4.0,False,,unit_or_mocked_only,not_live_tested,,,Challenge data-use agreement (IEEE DataPort),https://drive.google.com/file/d/1Uz5x0aqXb0aecjzNWQ4522oCxaRDZxBt/view,challenge_participation,Review the cited source for component-specific terms.,,,,,,,,https://drive.google.com/file/d/1Uz5x0aqXb0aecjzNWQ4522oCxaRDZxBt/view,[],[],https://drive.google.com/file/d/1Uz5x0aqXb0aecjzNWQ4522oCxaRDZxBt/view,https://drive.google.com/file/d/1Uz5x0aqXb0aecjzNWQ4522oCxaRDZxBt/view,https://drive.google.com/file/d/1Uz5x0aqXb0aecjzNWQ4522oCxaRDZxBt/view,https://drive.google.com/file/d/1Uz5x0aqXb0aecjzNWQ4522oCxaRDZxBt/view,True,2026-07-21,checked_against_cited_source,author_source_checked,not_live_tested,adam_challenge,ADAM — Automatic Detection of AMD Challenge,research-only,research-only,current_dataset,A current cataloged data product without a more specific structural role.,adam_challenge,True
afio_fundus_vessels,AFIO Fundus Images for Vessel Segmentation and Disease Annotation,"One hundred retinal fundus images from Armed Forces Institute of Ophthalmology, Rawalpindi, with expert annotations for vessels and hypertensive retinopathy, diabetic retinopathy, and papilledema tasks.",fundus,"[""segmentation"", ""classification""]",100,"[""all""]",,,,mendeley,https://data.mendeley.com/datasets/3csr652p9y/2,CC BY 4.0,"Akram MU et al. Data on Fundus Images for Vessels Segmentation, Detection of Hypertensive Retinopathy, Diabetic Retinopathy and Papilledema. Mendeley Data, V2, 2019. doi:10.17632/3csr652p9y.2","[""mendeley"", ""fundus"", ""vessels"", ""papilledema"", ""pakistan""]",0.2,Mendeley Data platform credentials or access setup may be required for automated listing or download requests; verify the current route before acquisition.,fundus,"[""fundus""]",images,"[{""count"": 100, ""evidence_basis"": ""legacy_catalog_field"", ""evidence_url"": ""https://data.mendeley.com/datasets/3csr652p9y/2"", ""exactness"": ""not_assessed"", ""notes"": """", ""primary"": true, ""review_date"": ""2026-08-01"", ""scope"": ""Primary quantity reported in the reviewed catalog source"", ""unit"": ""images""}]",https://data.mendeley.com/datasets/3csr652p9y/2,official_repository,https://data.mendeley.com/datasets/3csr652p9y/2,self_service_authenticated,True,True,,False,False,False,False,False,unknown,available,2026-07-21,author_source_checked,Author-conducted source check; transfer completeness was evaluated separately.,standard_platform_supported,mendeley,mendeley_loader,0.4.0,False,,unit_or_mocked_only,not_live_tested,,,CC BY 4.0,https://data.mendeley.com/datasets/3csr652p9y/2,dataset_files,Review the cited source for component-specific terms.,10.17632/3csr652p9y.2,,3csr652p9y/2,,,,,https://doi.org/10.17632/3csr652p9y.2,[],[],https://data.mendeley.com/datasets/3csr652p9y/2,https://data.mendeley.com/datasets/3csr652p9y/2,https://data.mendeley.com/datasets/3csr652p9y/2,https://data.mendeley.com/datasets/3csr652p9y/2,True,2026-07-21,checked_against_cited_source,author_source_checked,not_live_tested,afio_fundus_vessels,AFIO Fundus Images for Vessel Segmentation and Disease Annotation,cc-by,cc-by,current_dataset,A current cataloged data product without a more specific structural role.,afio_fundus_vessels,True
agar300,AGAR300 Microaneurysm Fundus Image Dataset,"The first public AGAR300 release contains 28 color fundus images with microaneurysms, captured at a 45 degree field of view and 2448 by 3264 pixel resolution.",fundus,"[""lesion_detection""]",28,"[""all""]","[""microaneurysm""]",1,,manual,https://ieee-dataport.org/open-access/diabetic-retinopathy-fundus-image-datasetagar300,CC BY 4.0,"Derwin J, Shan P. Diabetic Retinopathy - Fundus Image Dataset (AGAR300). IEEE DataPort. 2020. doi:10.21227/fsnq-tn19","[""fundus"", ""diabetic_retinopathy"", ""microaneurysm"", ""ieee_dataport""]",,"The source paper describes a larger 300 image clinical collection. The DOI record states that the public first release contains 28 images. All released images contain microaneurysms, and the release does not include spatial annotations. An IEEE DataPort account may be required to download it.",fundus,"[""fundus""]",images,"[{""count"": 28, ""evidence_basis"": ""legacy_catalog_field"", ""evidence_url"": ""https://ieee-dataport.org/open-access/diabetic-retinopathy-fundus-image-datasetagar300"", ""exactness"": ""not_assessed"", ""notes"": """", ""primary"": true, ""review_date"": ""2026-08-01"", ""scope"": ""Primary quantity reported in the reviewed catalog source"", ""unit"": ""images""}]",https://ieee-dataport.org/open-access/diabetic-retinopathy-fundus-image-datasetagar300,documented_manual_route,https://ieee-dataport.org/open-access/diabetic-retinopathy-fundus-image-datasetagar300,self_service_authenticated,True,True,False,False,False,False,False,False,unknown,available,2026-07-21,acquisition_route_verified,Author-conducted source check; transfer completeness was evaluated separately.,guided_instructions_only,manual,manual_loader,0.4.0,False,,unit_or_mocked_only,not_live_tested,,,CC BY 4.0,https://ieee-dataport.org/open-access/diabetic-retinopathy-fundus-image-datasetagar300,dataset_files,Review the cited source for component-specific terms.,,,,10.21227/fsnq-tn19,,,,https://ieee-dataport.org/open-access/diabetic-retinopathy-fundus-image-datasetagar300,[],[],https://ieee-dataport.org/open-access/diabetic-retinopathy-fundus-image-datasetagar300,https://ieee-dataport.org/open-access/diabetic-retinopathy-fundus-image-datasetagar300,https://ieee-dataport.org/open-access/diabetic-retinopathy-fundus-image-datasetagar300,https://ieee-dataport.org/open-access/diabetic-retinopathy-fundus-image-datasetagar300,True,2026-07-21,checked_against_cited_source,acquisition_route_verified,not_live_tested,agar300,AGAR300 Microaneurysm Fundus Image Dataset,cc-by,cc-by,current_dataset,A current cataloged data product without a more specific structural role.,agar300,True
age_challenge,AGE — Angle-Closure Glaucoma Evaluation Challenge (AS-OCT),4800 AS-OCT images from 199 patients. Two tasks: angle closure classification and scleral spur localization.,oct,"[""classification""]",4800,"[""train"", ""test""]","[""open"", ""closed""]",2,,gdrive,https://drive.google.com/file/d/1Qlkqj74SW8DJRKdYL_-ApC_0H5Z7uyvr/view,Challenge data-use agreement (IEEE DataPort),"Fu H. et al., 'AGE Challenge: Angle Closure Glaucoma Evaluation', MICCAI 2019 Workshop.","[""oct"", ""as_oct"", ""glaucoma"", ""angle_closure"", ""classification"", ""ichallenge""]",1.2,,oct,"[""oct""]",images,"[{""count"": 4800, ""evidence_basis"": ""legacy_catalog_field"", ""evidence_url"": ""https://drive.google.com/file/d/1Qlkqj74SW8DJRKdYL_-ApC_0H5Z7uyvr/view"", ""exactness"": ""not_assessed"", ""notes"": """", ""primary"": true, ""review_date"": ""2026-08-01"", ""scope"": ""Primary quantity reported in the reviewed catalog source"", ""unit"": ""images""}]",https://drive.google.com/file/d/1Qlkqj74SW8DJRKdYL_-ApC_0H5Z7uyvr/view,cloud_file_share,https://drive.google.com/file/d/1Qlkqj74SW8DJRKdYL_-ApC_0H5Z7uyvr/view,controlled_or_manual,False,False,,True,True,True,,,unknown,available,2026-07-21,author_source_checked,Author-conducted source check; transfer completeness was evaluated separately.,manual_access_blocked,gdrive,gdrive_loader,0.4.0,False,,unit_or_mocked_only,not_live_tested,,,Challenge data-use agreement (IEEE DataPort),https://drive.google.com/file/d/1Qlkqj74SW8DJRKdYL_-ApC_0H5Z7uyvr/view,challenge_participation,Review the cited source for component-specific terms.,,,,,,,,https://drive.google.com/file/d/1Qlkqj74SW8DJRKdYL_-ApC_0H5Z7uyvr/view,[],[],https://drive.google.com/file/d/1Qlkqj74SW8DJRKdYL_-ApC_0H5Z7uyvr/view,https://drive.google.com/file/d/1Qlkqj74SW8DJRKdYL_-ApC_0H5Z7uyvr/view,https://drive.google.com/file/d/1Qlkqj74SW8DJRKdYL_-ApC_0H5Z7uyvr/view,https://drive.google.com/file/d/1Qlkqj74SW8DJRKdYL_-ApC_0H5Z7uyvr/view,True,2026-07-21,checked_against_cited_source,author_source_checked,not_live_tested,age_challenge,AGE — Angle-Closure Glaucoma Evaluation Challenge (AS-OCT),research-only,research-only,current_dataset,A current cataloged data product without a more specific structural role.,age_challenge,True
airogs,AIROGS: AI for Robust Glaucoma Screening,"~113,893 color fundus images labelled as referable glaucoma (RG), no referable glaucoma (NRG), or ungradable. Large-scale, multi-ethnic, multi-site screening dataset.",fundus,"[""classification""]",113893,"[""train"", ""test""]","[""NRG"", ""RG""]",2,,direct,https://zenodo.org/records/5793241,CC BY-NC-ND 4.0,"De Vente et al., 'AIROGS: Artificial Intelligence for Robust Glaucoma Screening Challenge', TMI 2023.","[""glaucoma"", ""classification"", ""fundus"", ""screening"", ""large_scale""]",40.0,Training set (~101k images) on Zenodo. Test set distributed through Grand Challenge. Requires free account for Grand Challenge.,fundus,"[""fundus""]",images,"[{""count"": 113893, ""evidence_basis"": ""legacy_catalog_field"", ""evidence_url"": ""https://zenodo.org/records/5793241"", ""exactness"": ""not_assessed"", ""notes"": """", ""primary"": true, ""review_date"": ""2026-08-01"", ""scope"": ""Primary quantity reported in the reviewed catalog source"", ""unit"": ""images""}]",https://zenodo.org/records/5793241,official_direct,https://zenodo.org/records/5793241,anonymous_direct,False,False,False,False,False,False,False,False,unknown,available,2026-07-21,author_source_checked,Author-conducted source check; transfer completeness was evaluated separately.,guided_instructions_only,direct,direct_loader,0.4.0,False,,unit_or_mocked_only,not_live_tested,,,CC BY-NC-ND 4.0,https://zenodo.org/records/5793241,dataset_files,Review the cited source for component-specific terms.,,,,,,,,https://zenodo.org/records/5793241,[],[],https://zenodo.org/records/5793241,https://zenodo.org/records/5793241,https://zenodo.org/records/5793241,https://zenodo.org/records/5793241,True,2026-07-21,checked_against_cited_source,author_source_checked,not_live_tested,airogs,AIROGS: AI for Robust Glaucoma Screening,cc-by-nc-nd,cc-by-nc-nd,current_dataset,A current cataloged data product without a more specific structural role.,airogs,True
amd_dme_3d_oct,Comprehensive 3D OCT Dataset for AMD and DME,Swept-source OCT volumes for AMD and DME with three-dimensional pigment epithelial detachment and intraretinal-fluid masks.,oct,"[""segmentation"", ""classification""]",224,"[""all""]",,,,figshare,https://doi.org/10.6084/m9.figshare.30582035.v1,CC BY 4.0,"Huang W, Qin L, Xu M, et al. Comprehensive 3D Optical Coherence Tomography Dataset for AMD and DME: Facilitating Deep-Learning-Based 3D Segmentation. Scientific Data. 2026;13:224. doi:10.1038/s41597-025-06497-1","[""oct"", ""3d"", ""volume"", ""amd"", ""dme"", ""ped"", ""intraretinal_fluid"", ""figshare""]",19.65,"The release contains 122 AMD and 102 DME volumes. Of these, 104 volumes are labeled (62 AMD and 42 DME) and 120 are unlabeled.",oct,"[""oct""]",volumes,"[{""count"": 224, ""evidence_basis"": ""legacy_catalog_field"", ""evidence_url"": ""https://doi.org/10.6084/m9.figshare.30582035.v1"", ""exactness"": ""not_assessed"", ""notes"": """", ""primary"": true, ""review_date"": ""2026-08-01"", ""scope"": ""Primary quantity reported in the reviewed catalog source"", ""unit"": ""volumes""}]",https://doi.org/10.6084/m9.figshare.30582035.v1,official_repository,https://doi.org/10.6084/m9.figshare.30582035.v1,self_service_authenticated,True,True,,False,False,False,False,False,unknown,available,2026-07-21,author_source_checked,Author-conducted source check; transfer completeness was evaluated separately.,end_to_end_tested,figshare,figshare_loader,0.4.0,True,2026-07-31,complete_current_deposit_downloaded,complete_current_deposit_downloaded,python hub/audit/verify_download_and_load.py run,,CC BY 4.0,https://doi.org/10.6084/m9.figshare.30582035.v1,dataset_files,Review the cited source for component-specific terms.,10.6084/m9.figshare.30582035.v1,,10.6084/m9.figshare.30582035.v1,10.1038/s41597-025-06497-1,,,,https://doi.org/10.6084/m9.figshare.30582035.v1,[],[],https://doi.org/10.6084/m9.figshare.30582035.v1,https://doi.org/10.6084/m9.figshare.30582035.v1,https://doi.org/10.6084/m9.figshare.30582035.v1,https://doi.org/10.6084/m9.figshare.30582035.v1,True,2026-07-21,checked_against_cited_source,author_source_checked,complete_current_deposit_downloaded,amd_dme_3d_oct,Comprehensive 3D OCT Dataset for AMD and DME,cc-by,cc-by,current_dataset,A current cataloged data product without a more specific structural role.,amd_dme_3d_oct,True
amd_sd,AMD-SD: OCT Wet AMD Lesion Segmentation Dataset,"3,049 OCT B-scan images (1,140×380 px) from 138 wet AMD patients (156 eyes) with pixel-level annotations for 5 lesion classes: Subretinal Fluid (SRF), Intraretinal Fluid (IRF), Ellipsoid Zone Continuity (EZC), Subretinal Hyperreflective Material (SHRM), and Pigment Epithelial Detachment (PED).",oct,"[""segmentation""]",3049,"[""train"", ""val""]","[""SRF"", ""IRF"", ""EZC"", ""SHRM"", ""PED""]",5,,kaggle,https://www.kaggle.com/datasets/gaoweihao/amd-sd,CC BY-NC-ND 4.0,"Hu Y et al., 'AMD-SD: An Optical Coherence Tomography Image Dataset for wet AMD Lesions Segmentation', Scientific Data 11, 1014 (2024). doi:10.1038/s41597-024-03844-6","[""oct"", ""segmentation"", ""amd"", ""fluid"", ""kaggle"", ""figshare""]",2.0,Official split: training.txt / validation.txt at dataset root. Images in AMD-SD/images/<patient_id>/<scan>.png. Primary source: Figshare collection 7157554; mirror on Kaggle: gaoweihao/amd-sd.,oct,"[""oct""]",images,"[{""count"": 3049, ""evidence_basis"": ""legacy_catalog_field"", ""evidence_url"": ""https://www.kaggle.com/datasets/gaoweihao/amd-sd"", ""exactness"": ""not_assessed"", ""notes"": """", ""primary"": true, ""review_date"": ""2026-08-01"", ""scope"": ""Primary quantity reported in the reviewed catalog source"", ""unit"": ""images""}]",https://www.kaggle.com/datasets/gaoweihao/amd-sd,data_platform,https://www.kaggle.com/datasets/gaoweihao/amd-sd,self_service_authenticated,True,True,True,False,False,False,False,False,unknown,available,2026-07-21,author_source_checked,Author-conducted source check; transfer completeness was evaluated separately.,standard_platform_supported,kaggle,kaggle_loader,0.4.0,False,,unit_or_mocked_only,not_live_tested,,,CC BY-NC-ND 4.0,https://www.kaggle.com/datasets/gaoweihao/amd-sd,dataset_files,Review the cited source for component-specific terms.,,,gaoweihao/amd-sd,10.1038/s41597-024-03844-6,,,,https://www.kaggle.com/datasets/gaoweihao/amd-sd,[],[],https://www.kaggle.com/datasets/gaoweihao/amd-sd,https://www.kaggle.com/datasets/gaoweihao/amd-sd,https://www.kaggle.com/datasets/gaoweihao/amd-sd,https://www.kaggle.com/datasets/gaoweihao/amd-sd,True,2026-07-21,checked_against_cited_source,author_source_checked,not_live_tested,amd_sd,AMD-SD: OCT Wet AMD Lesion Segmentation Dataset,cc-by-nc-nd,cc-by-nc-nd,current_dataset,A current cataloged data product without a more specific structural role.,amd_sd,True
amdnet23,AMDNet23 Fundus Image Dataset for AMD Detection,"Two thousand preprocessed fundus images compiled from six public sources for normal, diabetes, cataract, and age-related macular degeneration classification.",fundus,"[""classification""]",2000,"[""all""]",,,,mendeley,https://data.mendeley.com/datasets/yj35kjgrv3/1,CC BY 4.0,"Ali MA. AMDNet23: Fundus Image Dataset for Age-Related Macular Degeneration Disease Detection. Mendeley Data, V1, 2025. doi:10.17632/yj35kjgrv3.1","[""mendeley"", ""fundus"", ""amd"", ""diabetic_retinopathy"", ""cataract"", ""composite""]",,"Composite/preprocessed dataset compiled from ODIR, DR_200, Fundus Dataset, RFMiD, HRF, and ARIA; avoid treating it as an independent primary cohort.",fundus,"[""fundus""]",images,"[{""count"": 2000, ""evidence_basis"": ""legacy_catalog_field"", ""evidence_url"": ""https://data.mendeley.com/datasets/yj35kjgrv3/1"", ""exactness"": ""not_assessed"", ""notes"": """", ""primary"": true, ""review_date"": ""2026-08-01"", ""scope"": ""Primary quantity reported in the reviewed catalog source"", ""unit"": ""images""}]",https://data.mendeley.com/datasets/yj35kjgrv3/1,official_repository,https://data.mendeley.com/datasets/yj35kjgrv3/1,self_service_authenticated,True,True,,False,False,False,False,False,unknown,available,2026-07-21,author_source_checked,Author-conducted source check; transfer completeness was evaluated separately.,standard_platform_supported,mendeley,mendeley_loader,0.4.0,False,,unit_or_mocked_only,not_live_tested,,,CC BY 4.0,https://data.mendeley.com/datasets/yj35kjgrv3/1,dataset_files,Review the cited source for component-specific terms.,10.17632/yj35kjgrv3.1,,yj35kjgrv3/1,,,,,https://doi.org/10.17632/yj35kjgrv3.1,[],"[{""target"": ""hrf"", ""type"": ""derived_from""}, {""target"": ""odir2019"", ""type"": ""derived_from""}, {""target"": ""rfmid"", ""type"": ""derived_from""}]",https://data.mendeley.com/datasets/yj35kjgrv3/1,https://data.mendeley.com/datasets/yj35kjgrv3/1,https://data.mendeley.com/datasets/yj35kjgrv3/1,https://data.mendeley.com/datasets/yj35kjgrv3/1,True,2026-07-21,checked_against_cited_source,author_source_checked,not_live_tested,amdnet23,AMDNet23 Fundus Image Dataset for AMD Detection,cc-by,cc-by,derivative_dataset,"A distinct data product that reuses one or more cataloged resources and adds processing, representations, synthesis, aggregation, or benchmark structure.",amdnet23,True
angioreport,AngioReport Fundus Angiography Report Dataset,De-identified fluorescein and indocyanine-green angiography images paired with structured lesion descriptions and reports.,multimodal,"[""report_generation"", ""multilabel"", ""classification""]",55361,"[""all""]",,,,manual,https://tianchi.aliyun.com/dataset/170128,Unknown; competition data terms must be reviewed,"Xu P, Chotcomwongse P, Zhang W, et al. AngioReport: Dataset and baseline methods for fundus angiography report generation. British Journal of Ophthalmology. 2025;109:1283-1288. doi:10.1136/bjo-2024-327006","[""ffa"", ""icga"", ""angiography"", ""reports"", ""image_text"", ""thailand"", ""tianchi""]",,"The paper reports 55,361 images from 1,691 patients and 3,179 eyes across 24 diagnostic conditions. Access is routed through the 2023 APTOS/Tianchi competition page; no clear dataset license was visible, so users must review current platform terms.",multimodal,"[""fundus"", ""fundus_angiography"", ""text""]",images,"[{""count"": 55361, ""evidence_basis"": ""legacy_catalog_field"", ""evidence_url"": ""https://tianchi.aliyun.com/dataset/170128"", ""exactness"": ""not_assessed"", ""notes"": """", ""primary"": true, ""review_date"": ""2026-08-01"", ""scope"": ""Primary quantity reported in the reviewed catalog source"", ""unit"": ""images""}]",https://tianchi.aliyun.com/dataset/170128,documented_manual_route,https://tianchi.aliyun.com/dataset/170128,self_service_clickthrough,True,True,False,True,False,False,False,False,unknown,available,2026-07-21,acquisition_route_verified,Author-conducted source check; transfer completeness was evaluated separately.,guided_instructions_only,manual,manual_loader,0.4.0,False,,unit_or_mocked_only,not_live_tested,,,Unknown; competition data terms must be reviewed,https://tianchi.aliyun.com/dataset/170128,unknown,Review the cited source for component-specific terms.,,,,10.1136/bjo-2024-327006,,,,https://tianchi.aliyun.com/dataset/170128,[],[],https://tianchi.aliyun.com/dataset/170128,https://tianchi.aliyun.com/dataset/170128,https://tianchi.aliyun.com/dataset/170128,https://tianchi.aliyun.com/dataset/170128,True,2026-07-21,checked_against_cited_source,acquisition_route_verified,not_live_tested,angioreport,AngioReport Fundus Angiography Report Dataset,unknown,unknown,current_dataset,A current cataloged data product without a more specific structural role.,angioreport,True
