source_record_id,relationship_type,target_record_id,evidence_url,evidence_source_type,evidence_summary,confidence,review_date,notes,source_canonical_name,target_canonical_name,catalog_version
amdnet23,derived_from,hrf,https://doi.org/10.17632/yj35kjgrv3.1,official_repository_metadata,"AMDNet23 compiles preprocessed images from ODIR, RFMiD, HRF, ARIA, DR_200, and Fundus Dataset.",confirmed,2026-08-01,"ARIA, DR_200, and Fundus Dataset are not separate EyeDataHub records.",AMDNet23 Fundus Image Dataset for AMD Detection,HRF: High-Resolution Fundus Image Database,0.3.0
amdnet23,derived_from,odir2019,https://doi.org/10.17632/yj35kjgrv3.1,official_repository_metadata,"AMDNet23 compiles preprocessed images from ODIR, RFMiD, HRF, ARIA, DR_200, and Fundus Dataset.",confirmed,2026-08-01,"ARIA, DR_200, and Fundus Dataset are not separate EyeDataHub records.",AMDNet23 Fundus Image Dataset for AMD Detection,ODIR-2019: Ocular Disease Intelligent Recognition,0.3.0
amdnet23,derived_from,rfmid,https://doi.org/10.17632/yj35kjgrv3.1,official_repository_metadata,"AMDNet23 compiles preprocessed images from ODIR, RFMiD, HRF, ARIA, DR_200, and Fundus Dataset.",confirmed,2026-08-01,"ARIA, DR_200, and Fundus Dataset are not separate EyeDataHub records.",AMDNet23 Fundus Image Dataset for AMD Detection,RFMiD: Retinal Fundus Multi-disease Image Dataset,0.3.0
aod,derived_from,odir2019,https://doi.org/10.17632/d73g6m8d5m.1,official_repository_metadata,The AOD deposit describes an augmented and preprocessed ODIR-5K resource.,confirmed,2026-08-01,,AOD: Augmented Ocular Diseases Dataset,ODIR-2019: Ocular Disease Intelligent Recognition,0.3.0
aptos_arcade_onh_masks,derived_from,aptos2019,https://zenodo.org/records/20711325,official_repository_metadata,The deposit supplies vascular-arcade and optic-nerve-head masks for APTOS 2019 images.,confirmed,2026-08-01,,APTOS Vascular Arcade and Optic Nerve Head Masks,APTOS 2019 Blindness Detection,0.3.0
bidr,mirror_of,dr_arranged,https://www.kaggle.com/datasets/pkdarabi/diagnosis-of-diabetic-retinopathy,official_platform_metadata,BiDR and the Tianchi arranged record contain the same documented EyePACS training split.,confirmed,2026-08-01,,BiDR: Diabetic Retinopathy Diagnosis Dataset,Diabetic Retinopathy Arranged Dataset (Tianchi 93926),0.3.0
bidr,subset_of,eyepacs,https://www.kaggle.com/datasets/pkdarabi/diagnosis-of-diabetic-retinopathy,official_platform_metadata,"BiDR republishes the 35,126-image EyePACS competition training split, not the full EyePACS record.",confirmed,2026-08-01,,BiDR: Diabetic Retinopathy Diagnosis Dataset,EyePACS — Diabetic Retinopathy Detection (Kaggle 2015),0.3.0
brset_mbrset_embeddings,derived_from,brset,https://physionet.org/content/embedding-brset-mbrset/1.0.0/,official_repository_page,The PhysioNet record supplies precomputed representations for BRSET images.,confirmed,2026-08-01,,Embedding-Based Representations for BRSET and mBRSET,BRSET: Brazilian Multilabel Ophthalmological Dataset,0.3.0
brset_mbrset_embeddings,derived_from,mbrset,https://physionet.org/content/embedding-brset-mbrset/1.0.0/,official_repository_page,The PhysioNet record supplies precomputed representations for mBRSET images.,confirmed,2026-08-01,,Embedding-Based Representations for BRSET and mBRSET,mBRSET: Mobile Brazilian Retinal Dataset,0.3.0
cadis,derived_from,cataracts2017,https://cataracts-semantic-segmentation2020.grand-challenge.org/,official_challenge_page,CaDIS adds semantic segmentation labels to frames selected from CATARACTS videos.,confirmed,2026-08-01,,CaDIS: Cataract Dataset for Image Segmentation,CATARACTS 2017: Surgical Tool Detection Challenge,0.3.0
cataract101_extended_labels,derived_from,cataract_101,https://zenodo.org/records/4984167,official_repository_metadata,The deposit provides extended labels for the Cataract-101 videos.,confirmed,2026-08-01,,Cataract-101 Extended Labels,Cataract-101: 101 Cataract Surgery Videos with Phase Annotations,0.3.0
corn1500,component_of,corn_collection,https://zenodo.org/records/19689814,official_repository_metadata,CORN-1500 is a named component of the combined CORN collection.,confirmed,2026-08-01,,CORN-1500: Corneal Nerve Tortuosity Grading,CORN: Corneal Confocal Microscope Dataset Collection,0.3.0
corn_collection,has_component,corn1500,https://zenodo.org/records/19689814,official_repository_metadata,The CORN collection lists CORN-1500 as one of its six component deposits.,confirmed,2026-08-01,,CORN: Corneal Confocal Microscope Dataset Collection,CORN-1500: Corneal Nerve Tortuosity Grading,0.3.0
corn_collection,has_component,corn_pro,https://zenodo.org/records/19689814,official_repository_metadata,The CORN collection lists CORN-Pro as one of its six component deposits.,confirmed,2026-08-01,,CORN: Corneal Confocal Microscope Dataset Collection,CORN Pro: Corneal Nerve Confocal Microscopy Dataset,0.3.0
corn_pro,component_of,corn_collection,https://zenodo.org/records/19689814,official_repository_metadata,CORN-Pro is a named component of the combined CORN collection.,confirmed,2026-08-01,,CORN Pro: Corneal Nerve Confocal Microscopy Dataset,CORN: Corneal Confocal Microscope Dataset Collection,0.3.0
dme_vqa,derived_from,e_ophtha,https://zenodo.org/records/6784358,official_repository_metadata,The DME VQA deposit identifies e-ophtha images as source material.,confirmed,2026-08-01,,Diabetic Macular Edema Visual Question Answering Dataset,E-ophtha (EX + MA): Exudate and Microaneurysm Segmentation,0.3.0
dme_vqa,derived_from,idrid,https://zenodo.org/records/6784358,official_repository_metadata,The DME VQA deposit identifies IDRiD images as source material.,confirmed,2026-08-01,,Diabetic Macular Edema Visual Question Answering Dataset,IDRiD: Indian Diabetic Retinopathy Image Dataset,0.3.0
dme_vqa_logical,extension_of,dme_vqa,https://zenodo.org/records/7777849,official_repository_metadata,This release adds logical-relation annotations to the earlier DME VQA resource.,confirmed,2026-08-01,,DME VQA Dataset with Logical Relations,Diabetic Macular Edema Visual Question Answering Dataset,0.3.0
dr_arranged,mirror_of,bidr,https://tianchi.aliyun.com/dataset/93926,official_platform_page,The Tianchi arranged record and BiDR contain the same documented EyePACS training split.,confirmed,2026-08-01,,Diabetic Retinopathy Arranged Dataset (Tianchi 93926),BiDR: Diabetic Retinopathy Diagnosis Dataset,0.3.0
