doi,title,decision,reason,modality,tasks,primary_quantity_count,primary_quantity_unit,quantity_evidence_basis,publication_doi,version_number,file_count,total_bytes,matched_existing_record,relationship_type,confidence
10.5061/dryad.pg4f4qrnr,Avian color expression and perception: Is there a carotenoid link?,exclude,Plumage/carotenoid data are not a reusable ocular data resource despite vision context.,,,,,not assessed (excluded),10.1242/jeb.203844,3,6,595062,,,high
10.5061/dryad.pg4f4qrwf,Genotype-phenotype associations in CRB1 bi-allelic patients: a novel mutation and a systematic review,add_now,Anonymized CRB1 genotype-phenotype table is a distinct ophthalmic clinical/genetic resource.,tabular,genotype_phenotype_association,439,patients,official Dryad abstract,10.1186/s12886-024-03419-4,4,5,202281,,,high
10.5061/dryad.pg4f4qs4d,Structural analysis of rhodopsin states in megabody complexes,exclude,"Three figure-source spreadsheets document molecular-structure results, not an ocular research resource.",,,,,not assessed (excluded),10.1073/pnas.2532336123,4,3,319027,,,high
10.5061/dryad.pk0p2ngzh,Morphometric analysis of retinal ganglionic cells (3D confocal images) analyzed using filament tracer from Imaris software,add_now,Ten large retinal-ganglion-cell confocal image archives plus morphometry are a reusable retinal microscopy resource.,cell_microscopy,cell_morphometry,10,image_archives,official Dryad file listing (FAC1-5 and FMC1-5 archives),,6,12,37594711764,,,high
10.5061/dryad.pk31jt2,Data from: Low incidence of choroidal neovascularization following subthreshold diode micropulse laser (SDM) in high-risk AMD,add_now,Official deposit provides an AMD/CNV treatment-outcome cohort table.,tabular,treatment_outcome_analysis,,,not stated in official deposit metadata,10.1371/journal.pone.0202097,1,1,84019,,,medium
10.5061/dryad.pnvx0k6hv,Time trends and associated factors of axial length in 4 and 5 year-olds children in Shanghai from 2013 to 2019,add_now,Anonymized pediatric axial-length and ocular-biometry cohort is directly reusable.,tabular,ocular_biometry_analysis,,,not stated in official deposit metadata,10.1007/s10792-020-01637-5,3,1,224849,,,high
10.5061/dryad.prr4xgxtd,Data from: Functional differences between the extraordinary eyes of deep-sea hyperiid amphipods,add_now,Six raw micro-CT eye volumes provide a distinct comparative ocular-morphology resource.,medical_imaging,ocular_morphometry,6,volumes,official Dryad file listing (.nii volumes),10.1098/rspb.2024.0239,4,7,30507962678,,,high
10.5061/dryad.pzgmsbcfw,Anti-vegf therapy in diabetic macular oedema patients over four years,add_now,Anonymized anti-VEGF diabetic-macular-oedema clinical table has a distinct treatment-outcome use.,tabular,treatment_outcome_analysis,,,not stated in official deposit metadata,10.1038/s41433-020-1048-0,9,2,8699115,,,high
10.5061/dryad.pzgmsbcmk,Two-photon calcium recordings of cones,add_now,Cone-type calcium response/QC tables are a reusable retinal functional-imaging resource.,signals,calcium_response_analysis,4,cone_type_datasets,"official Dryad file listing (blue, green, red, UV response sets)",,3,13,878189959,,,high
10.5061/dryad.q2bvq83vg,Predictably manipulating photoreceptor light responses to reveal their role in downstream visual responses,exclude,Single Figure 2 source-data file is an article supplement rather than a standalone reusable resource.,,,,,not assessed (excluded),10.7554/elife.93795.2,3,2,41491819,,,high
10.5061/dryad.q83bk3jnw,Disease parameters following ocular herpes simplex virus type 1 infection are similar in male and female BALB/C mice,add_now,"Mouse ocular-HSV disease, keratitis, and neovascularization score data are reusable experimental ocular outcomes.",tabular,disease_severity_scoring,5,score_tables,official Dryad file listing,10.1371/journal.pone.0287194,4,7,4541161,,,high
10.5061/dryad.qfttdz0dr,Association of APOE gene polymorphisms with primary open angle glaucoma in Brazilian patients,add_now,APOE glaucoma case-control genotypes and phenotypes form a reusable ophthalmic association dataset.,tabular,genotype_phenotype_association,803,participants,official Dryad methods (402 cases plus 401 controls),10.1080/13816810.2020.1849314,3,1,175479,,,high
10.5061/dryad.qfttdz0vh,Data from: Nanophysiology approach reveals diversity in calcium microdomains across Zebrafish retinal bipolar ribbon synapses,exclude,One source-data workbook and README for a paper do not establish a separately reusable research object.,,,,,not assessed (excluded),10.7554/elife.105875.4,3,2,300344,,,high
10.5061/dryad.qjq2bvqhb,Sex differences in behavioural and anatomical estimates of visual acuity in the green swordtail Xiphophorus helleri,add_now,Behavioral visual-acuity and retinal ganglion-cell mapping tables provide a distinct ocular-function resource.,tabular,visual_acuity_assessment|retinal_cell_mapping,,,not stated in official deposit metadata,10.1242/jeb.243420,3,4,2124063,,,high
10.5061/dryad.r07bc,Data from: Transcription factors involved in retinogenesis are co-opted by the circadian clock following photoreceptor differentiation,exclude,Small gene-expression supplement is not documented as a reusable ocular data resource.,,,,,not assessed (excluded),10.1242/dev.104380,1,2,590607,,,medium
10.5061/dryad.r2280gbj2,Visual opsin gene expression evolution in the adaptive radiation of cichlid fishes of Lake Tanganyika,add_now,753 retinal transcriptomes from 112 cichlid species form a clearly reusable retinal-omics resource.,omics,gene_expression_analysis,753,retinal_transcriptomes,official Dryad abstract,10.1126/sciadv.adg6568,5,27,111270728,,,high
10.5061/dryad.r4xgxd2nt,Restoration of cone circuit functionality in the regenerating adult zebrafish retina,add_now,Preprocessed two-photon functional retinal data and analysis files are a distinct retinal-regeneration resource.,signals,calcium_response_analysis|retinal_regeneration_analysis,,,not stated in official deposit metadata,10.1016/j.devcel.2024.07.005,6,6,3340308791,,,high
10.5061/dryad.r6h8dr2,Data from: Long-lived metabolic enzymes in the crystalline lens identified by pulse-labeling of mice and mass spectrometry,exclude,Single supplementary mass-spectrometry workbook is not a separately documented reusable ocular resource.,,,,,not assessed (excluded),10.7554/elife.50170,3,1,285692,,,high
10.5061/dryad.r7s04,"Data from: Prevalence of depression, anxiety, adjustment disorders, and somatoform disorders in patients with age-related macular degeneration in Germany",add_now,AMD-linked psychiatric prevalence cohort table has a documented ophthalmic clinical use.,tabular,epidemiology_analysis,15160,participants,"official Dryad abstract (7,580 AMD and 7,580 matched controls)",10.3205/000245,1,1,1273396,,,high
10.5061/dryad.r7sqv9sqs,Deletion in <em>CACNA1F</em> gene causes X-linked progressive retinal atrophy in English Cocker Spaniel dogs,add_now,Canine retinal-atrophy genotype resource supplies raw sequencing and pedigree data.,omics,variant_analysis,,,not stated in official deposit metadata,10.1186/s12917-026-05421-y,4,11,139241181282,,,high
