doi,title,original_query_hits,initial_decision,matched_existing_record,relationship_type,final_decision,final_catalog_slug,reason,review_stage,official_source_url
10.15146/r36w24,Análise de imagens de fundo de olho para detecção de retinopatia diabética,"[""\""diabetic retinopathy\""""]",needs_manual_review,eyepacs,derived_from_existing_source,excluded_duplicate_or_upstream_terms,,The three feature CSVs are a derivative of Kaggle diabetic-retinopathy images; the deposit does not establish upstream redistribution terms or a sufficiently distinct independent resource.,deferred_resolution,https://doi.org/10.15146/r36w24
10.25338/b8fp72,Data: Phenotypic trait differences between Iris pseudacorus in native and introduced ranges support greater capacity of invasive populations to withstand sea level rise,"[""iris""]",exclude,,,excluded_out_of_scope_or_false_positive,,Plant genus Iris search collision; not an ocular resource.,broad_screen,https://doi.org/10.25338/b8fp72
10.25338/b8p62h,"Data for: Effects of physical impairments on fitness correlates of the white-footed mouse, Peromyscus leucopus","[""cataract""]",exclude,,,excluded_out_of_scope_or_false_positive,,Unrelated keyword search hit; not an eye or ophthalmology data resource.,broad_screen,https://doi.org/10.25338/b8p62h
10.25338/b8wh0q,Data from: Germination niche breadth of invasive Iris pseudacorus (L.) suggests continued recruitment from seeds with climate warming,"[""iris""]",exclude,,,excluded_out_of_scope_or_false_positive,,Plant genus Iris search collision; not an ocular resource.,broad_screen,https://doi.org/10.25338/b8wh0q
10.25349/d9gp7f,Data for: Intrinsic spin Hall torque in a moiré Chern magnet,"[""orbit""]",exclude,,,excluded_out_of_scope_or_false_positive,,Unrelated keyword search hit; not an eye or ophthalmology data resource.,broad_screen,https://doi.org/10.25349/d9gp7f
10.25349/d9j62b,"Analysis data for ""The effect of agricultural land retirement on pesticide use""","[""iris""]",exclude,,,excluded_out_of_scope_or_false_positive,,Unrelated keyword search hit; not an eye or ophthalmology data resource.,broad_screen,https://doi.org/10.25349/d9j62b
10.25349/d9jc8b,Imaging orbital ferromagnetism in a moire Chern insulator,"[""orbit""]",exclude,,,excluded_out_of_scope_or_false_positive,,"Physics, astronomy, or software use of ?orbit?; not an ocular-orbit resource.",broad_screen,https://doi.org/10.25349/d9jc8b
10.25349/d9k330,Measures and models of visual acuity in epipelagic and mesopelagic teleosts and elasmobranchs,"[""retinal""]",exclude,,,excluded_out_of_scope_or_false_positive,,Unrelated keyword search hit; not an eye or ophthalmology data resource.,broad_screen,https://doi.org/10.25349/d9k330
10.25349/d9r626,Data from: Quantum disordered ground state in the triangular-lattice magnet NaRuO2,"[""orbit""]",exclude,,,excluded_out_of_scope_or_false_positive,,Unrelated keyword search hit; not an eye or ophthalmology data resource.,broad_screen,https://doi.org/10.25349/d9r626
10.5061/dryad.01n20,Data from: Clinical efficacy of implantation of toric intraocular lenses with different incision positions: a comparative study of steep-axis incision and non-steep-axis incision,"[""cataract"", ""corneal"", ""ophthalmology""]",include,,,included_new_record,dryad_toric_iol_incision,Human toric-IOL surgical outcome table directly supports cataract-surgery outcome analysis.,scope_screen_a,https://doi.org/10.5061/dryad.01n20
10.5061/dryad.02v6wwqjh,Dataset for: Multi-organ acute and delayed effects following exposure to neutron radiation,"[""cataract""]",exclude,,,excluded_out_of_scope_or_false_positive,,Unrelated keyword search hit; not an eye or ophthalmology data resource.,broad_screen,https://doi.org/10.5061/dryad.02v6wwqjh
10.5061/dryad.08kprr5h8,Data from: Refillable intraocular drug-eluting implant,"[""cataract"", ""ocular"", ""ophthalmic"", ""ophthalmology""]",include,,,excluded_insufficient_reusable_ophthalmic_data,,Figure-labelled raw values support an intraocular-device paper; no distinct reusable ocular data object.,strict_screen_a,https://doi.org/10.5061/dryad.08kprr5h8
10.5061/dryad.0cfxpnwcs,Stable and accurate orbital-free density functional theory powered by machine learning,"[""orbit""]",exclude,,,excluded_out_of_scope_or_false_positive,,"Physics, astronomy, or software use of ?orbit?; not an ocular-orbit resource.",broad_screen,https://doi.org/10.5061/dryad.0cfxpnwcs
10.5061/dryad.0fg8g9h,Data from: Conserved visual sensitivities across divergent lizard lineages that differ in an ultraviolet sexual signal,"[""retinal""]",exclude,,,excluded_out_of_scope_or_false_positive,,Unrelated keyword search hit; not an eye or ophthalmology data resource.,broad_screen,https://doi.org/10.5061/dryad.0fg8g9h
10.5061/dryad.0gb5mkkxn,Data from: Presence of same-sex kin promotes explorative behavior in subadult cichlid fish,"[""iris""]",exclude,,,excluded_out_of_scope_or_false_positive,,Unrelated keyword search hit; not an eye or ophthalmology data resource.,broad_screen,https://doi.org/10.5061/dryad.0gb5mkkxn
10.5061/dryad.0gb5mkm9b,Postural stability and optic flow sensitivity following sight restoration from congenital bilateral cataracts,"[""cataract""]",needs_manual_review,,,included_new_record,dryad_congenital_cataract_sight_restoration,"Eleven named experiment tables, analysis scripts, demographics, and README form a distinct human visual-restoration dataset after congenital cataract surgery.",deferred_resolution,https://doi.org/10.5061/dryad.0gb5mkm9b
10.5061/dryad.0gb5mkmbc,A curated database of milky sea observations from 1600 to present,"[""orbit""]",exclude,,,excluded_out_of_scope_or_false_positive,,Unrelated keyword search hit; not an eye or ophthalmology data resource.,broad_screen,https://doi.org/10.5061/dryad.0gb5mkmbc
10.5061/dryad.0kt87,Data from: Analysis of iris surface features in populations of diverse ancestry,"[""iris"", ""ophthalmology""]",include,,,included_new_record,dryad_iris_surface_features,Individual human iris-feature records are directly reusable for iris biometrics and phenotype classification.,scope_screen_a,https://doi.org/10.5061/dryad.0kt87
10.5061/dryad.0n5f66n,Data from: Spondyloarthritis in the Democratic Republic of the Congo: a prospective hospital-based study,"[""uveitis""]",exclude,,,excluded_out_of_scope_or_false_positive,,Unrelated keyword search hit; not an eye or ophthalmology data resource.,broad_screen,https://doi.org/10.5061/dryad.0n5f66n
10.5061/dryad.0p2ngf25g,Mechanisms of simultaneous linear and nonlinear computations at the mammalian cone photoreceptor synapse,"[""retina""]",include,,,included_new_record,dryad_cone_synapse_computation,Ground-squirrel cone-synapse recordings are a well-defined retinal physiology resource relevant to photoreceptor mechanism studies.,scope_screen_a,https://doi.org/10.5061/dryad.0p2ngf25g
10.5061/dryad.0p2ngf2bd,Data from: The effect of sampling methods on the validity and reliability of the estimation of the orbital stability of human gait,"[""orbit""]",exclude,,,excluded_out_of_scope_or_false_positive,,Unrelated keyword search hit; not an eye or ophthalmology data resource.,broad_screen,https://doi.org/10.5061/dryad.0p2ngf2bd
10.5061/dryad.0p7vm,Data from: Development of an extracorporeal perfusion device for small animal free flaps,"[""angiography""]",exclude,,,excluded_out_of_scope_or_false_positive,,Unrelated keyword search hit; not an eye or ophthalmology data resource.,broad_screen,https://doi.org/10.5061/dryad.0p7vm
