doi,title,scope_decision,rationale,normalized_primary_category,normalized_tasks,primary_quantity_count,primary_quantity_unit,file_level_research_object,confidence
10.5061/dryad.8931zcrw5,CCI.net fungal keratitis cases dataset,core_add,"The 8,697-image fungal-keratitis dataset has explicit classification and segmentation splits and is directly usable for translational corneal imaging.",external_eye,"classification;segmentation",8697,images,"CCI_net_dataset.zip plus README",high
10.5061/dryad.8cz8w9gmw,Dynamics of gaze control during prey capture in freely moving mice,exclude_scope,"Mouse prey-capture gaze behavior is general visual-neuroscience research rather than an ophthalmic modality disease mechanism or translational method.",,,105,trials,"MAT recordings",high
10.5061/dryad.8cz8w9h0v,Data from: Quantifying changes on optical coherence tomography in eyes receiving treatment for neovascular age-related macular degeneration,core_add,"The named longitudinal OCT measurement CSV covers 2,115 treated AMD eyes and fits core clinical OCT progression analysis.",oct,"measurement;progression_analysis",2115,eyes,"AMD_longitudinal_MEH_v4.csv plus README",high
10.5061/dryad.8jk03jd,Data from: Type 1 interferon-inducible gene expression in QuantiFERON Gold TB-positive uveitis: a tool to stratify a high versus low risk of active tuberculosis?,core_add,"The human uveitis expression workbook has a stated 103-enrollment cohort and supports ocular biomarker classification.",omics,classification,103,group_enrollments,"Type I IFN gene signature workbook",high
10.5061/dryad.8nv72,Data from: Individual variation in cone photoreceptor density in house sparrows: implications for between-individual differences in visual resolution and chromatic contrast,exclude_scope,"Comparative sparrow cone-density ecology lacks a direct ophthalmic or translational ocular-method use case.",,,,,"Cone-density workbooks",high
10.5061/dryad.95x69p8th,Quantifying the influence of optical coherence tomography beam tilt in the normal adult mouse retina,adjacent_add,"The large named OCT archive is a directly reusable imaging-method resource despite its normal mouse rather than human cohort.",oct,measurement,,,"beam_tilt_data_for_Dryad.zip plus README",high
10.5061/dryad.9707661,Clinical characteristics of patients hospitalized for ocular chemical injuries in Shanghai from 2012 to 2017,core_add,"This 160-patient clinical workbook is directly relevant to ocular injury outcomes and ophthalmic epidemiology.",tabular,prognosis,160,patients,"Data.xlsx",high
10.5061/dryad.97r9289,Data from: One and two year visual outcomes from the Moorfields age-related macular degeneration database: a retrospective cohort study and an open science resource,core_add,"The de-identified 8,174-eye Moorfields AMD CSV is an explicitly released human longitudinal outcome resource.",tabular,progression_analysis,8174,eyes,"Moorfields_AMD_Database_1.csv plus README",high
10.5061/dryad.98sf7m0wt,Data and code from: Fatty acid metabolism reprograms immune microenvironment in retinal artery occlusion: Multi-Omics analysis highlights immunometabolic crosstalk,core_add,"The 132-participant retinal-artery-occlusion multi-omics release is directly translational and contains data beyond its analysis code.",omics,classification,132,participants,"Three omics data archives plus README",high
10.5061/dryad.9cnp5hqfm,Data from: Ten-year survival trends of neovascular age-related macular degeneration at first presentation,core_add,"The 103-patient ten-year AMD outcome CSV is a clearly defined human survival-analysis resource.",tabular,survival_analysis,103,patients,"Moorfields_AMD_Database_10_years.csv plus README",high
10.5061/dryad.9cnp5hqkq,Opponent processing in the retinal mosaic of nymphalid butterflies,exclude_scope,"Butterfly retinal spectral ecology is not a direct translational ocular modality or disease-mechanism resource.",,,,,"Spectral_sensitivity_data.xlsx",high
10.5061/dryad.9kd51c5g5,Pupil and masking responses to light as functional measures of retinal degeneration in mice Mus Musculus,adjacent_add,"The three named ERG pupil and masking response files form a defined retinal-degeneration functional-assay resource in a disease model.",electrophysiology,"measurement;evaluation",,,"ERG.pzf, PLR.pzf, and Negative_masking.pzf",medium
10.5061/dryad.b971k,Data from: Rab6 is required for multiple apical transport pathways but not the basolateral transport pathway in Drosophila photoreceptors,exclude_scope,"Drosophila photoreceptor transport genomics is basic cell biology without a sufficiently direct ophthalmic or translational route.",,,,,"BAM/VCF/FASTA files",high
10.5061/dryad.bcc2fqzf1,Gene augmentation prevents retinal degeneration in a CRISPR/Cas9-based mouse model of PRPF31 retinitis pigmentosa,adjacent_add,"Thirty-eight named sequencing files document a retinitis-pigmentosa gene-therapy disease model with clear translational relevance.",omics,classification,,,"FASTQ sequencing files plus README",high
10.5061/dryad.bk3j9kdjf,Data from: Phase-dependent differential in vitro and ex vivo susceptibility of Aspergillus flavus and Fusarium keratoplasticum to azole antifungals,adjacent_add,"The raw corneal-coverage and absorbance CSVs are a defined fungal-keratitis drug-response assay resource.",tabular,evaluation,,,"Two raw assay CSVs plus README",high
10.5061/dryad.bk3j9kdps,Data from: Htr1b is necessary for normal retinal function in mice,adjacent_add,"Separate ERG MEA optomotor and retinal-thickness files define a reusable retinal functional disease-mechanism assay.",electrophysiology,"measurement;evaluation",,,"ERG/MEA/OKR/thickness workbooks plus README",high
10.5061/dryad.bm8nv,Data from: Intra- and intersession repeatability of an optical quality and intraocular scattering measurement system in children,core_add,"The 42-eye pediatric optical-quality workbook is directly usable for ocular-biometric measurement and repeatability evaluation.",tabular,measurement,42,eyes,"Optical quality measurement workbook",high
10.5061/dryad.c2fqz615c,"Age-related change of axial length, spherical equivalent, prevalence of myopia and high myopia in school-age children in Shanghai: 2014 to 2018",core_add,"The named DATA.xls and README define a human pediatric ocular-biometry cohort even though the deposit does not state one primary total.",tabular,measurement,,,"DATA.xls plus README.docx",high
10.5061/dryad.c2fqz61hr,NMR spectroscopy-based metabolomics of organotypic retinal explants,adjacent_add,"The dedicated raw retinal-explant metabolomics archive is a defined translational retinal-metabolism resource.",omics,classification,,,"Retina_Metabolomics_raw_data_update.zip plus README",high
10.5061/dryad.c2fqz61pc,Retinal proteome profiling of inherited retinal degeneration across three different mouse models suggests common drug targets in retinitis pigmentosa,adjacent_add,"Nineteen named proteomic tables cover three inherited-retinal-degeneration models and support translational mechanism work.",omics,classification,3,mouse_models,"Nineteen proteomic CSVs plus README",high
10.5061/dryad.c6147,Data from: Visual and non-visual navigation in blind patients with a retinal prosthesis,core_add,"The four retinal-prosthesis participant dataset is a direct human device-rehabilitation resource rather than generic behavior data.",multimodal,navigation,4,retinal_prosthesis_participants,"SGKPGSRLDCMN_dataset.xlsx",high
10.5061/dryad.c7p60,Data from: Pushing the limits of photoreception in twilight conditions: The rod-like cone retina of the deep-sea pearlsides,exclude_scope,"Deep-sea fish photoreceptor evolution and assemblies are comparative ecology rather than a translational ocular resource.",,,,,"Fish transcriptome assemblies and phylogenies",high
10.5061/dryad.cp4j7,Data from: Dichoptic metacontrast masking functions to infer transmission delay in optic neuritis,core_add,"The 17-participant optic-neuritis psychophysics archive is a direct human visual-function evaluation resource.",tabular,evaluation,17,participants,"MetacontrastOpticNeuritis.zip",high
10.5061/dryad.d35s0,Data from: Changes in corneal biomechanical properties after long-term topical prostaglandin therapy,core_add,"This 88-eye human Corvis-ST workbook directly supports corneal measurement after glaucoma therapy.",corneal_topography,measurement,88,eyes,"Na Wu-corvis primary data.xlsx",high
10.5061/dryad.d4mb3pn,Data from: Axial length elongation and myopia incidence increase in primary school-age children: 3-year follow-up study,core_add,"The 452-participant longitudinal pediatric biometric workbook is core myopia progression data.",tabular,progression_analysis,452,participants,"Data3.xlsx",high
10.5061/dryad.d9v38,Data from: The functional diversity of retinal ganglion cells in the mouse,exclude_scope,"Dense mouse retinal ganglion-cell recordings are general visual neuroscience and do not establish a disease method or translational ocular scope.",,,,,"BadenEtAl_RGCs_2016_v1.mat",high
10.5061/dryad.dp4kt5t,Data from: Daytime eyeshine contributes to pupil camouflage in a cryptobenthic marine fish,exclude_scope,"Fish pupil-camouflage measurements are comparative visual ecology rather than ophthalmic data.",,,,,"Raw data tables archive",high
10.5061/dryad.ffbg79d50,Eye saccades align optic flow with retinal specializations during object pursuit in freely moving ferrets,exclude_scope,"Freely moving ferret pursuit behavior is general visual neuroscience without a direct ophthalmic modality or translational method.",,,,,"Multiview/configuration archives",high
10.5061/dryad.fttdz0933,Data from: Development and patterning of a highly versatile visual system in spiders,exclude_scope,"Spider visual-system development is comparative biology and does not supply an ophthalmic or translational ocular resource.",,,,,"Spider transcriptome assemblies",high
10.5061/dryad.gf1vhhmsc,Rhesus macaque cone ratio heritability,adjacent_add,"Named cone-expression and pedigree tables provide a defined primate retinal biometrics/genetics resource with plausible translational relevance.",omics,measurement,,,"ddPCR and pedigree CSVs plus README",medium
10.5061/dryad.gmsbcc2p2,"Simple and complex, sexually dimorphic retinal mosaic of fritillary butterflies",exclude_scope,"Butterfly eyeshine and retinal-mosaic comparative work falls outside the human/translational catalog center.",,,,,"Anatomy and eyeshine archives plus spectral workbooks",high
10.5061/dryad.gt410,Data from: The association of outdoor activity and age-related cataract in a rural population of Taizhou Eye Study: phase 1 report,core_add,"The 2,006-participant original-data workbook is directly relevant to human cataract epidemiology and prognosis.",tabular,prognosis,2006,participants,"Original Taizhou Eye Study workbook",high
10.5061/dryad.gxd25480h,Retinal polyunsaturated fatty acid supplementation reverses aging-related vision decline in mice,adjacent_add,"Fourteen named retinal lipidomic and expression tables define a disease-mechanism resource for retinal aging.",omics,classification,,,"Retinal lipidomics/transcript/protein tables plus README",high
10.5061/dryad.h18931zr2,Circuit mechanisms underlying embryonic retinal waves,exclude_scope,"Embryonic mouse retinal-wave imaging is general developmental visual neuroscience without a defined translational ophthalmic use.",,,,,"Thirty-four raw retinal image files plus README",high
10.5061/dryad.h18931zxf,Caecilians maintain a functional long-wavelength-sensitive cone opsin gene despite signatures of relaxed selection and more than 200 million years of fossoriality,exclude_scope,"Caecilian opsin evolution is comparative ecology and lacks a direct ophthalmic modality disease mechanism or method.",,,,,"Data_Caecilian.zip plus README",high
10.5061/dryad.h44j0zpnp,"Accuracy of biomicroscopy, ultrasonography and spectral-domain OCT in detection of complete posterior vitreous detachment",core_add,"The 123-eye diagnostic workbook directly evaluates clinical OCT ultrasonography and biomicroscopy for vitreous detachment.",oct,evaluation,123,eyes,"PVD diagnostic workbook plus README",high
10.5061/dryad.h44j0zpv3,Utility index and vision related quality of life in patients awaiting specialist eye care,core_add,"The 536-person eye-care quality-of-life dataset is directly usable for human ophthalmic service evaluation.",tabular,measurement,536,participants,"Dataset_VFQ-Utility_ageRANGE.xlsx plus README",high
10.5061/dryad.h544560,Data from: Observational study of clinical characteristics of dome-shaped macula in Chinese Han with high myopia at Zhongshan Ophthalmic Center,core_add,"The 1,384-eye high-myopia database is a directly reusable human macular clinical cohort.",tabular,measurement,1384,eyes,"High myopia database workbook plus README",high
10.5061/dryad.hg000c2,Data from: Individual variation in the transmission of ultraviolet radiation in the young adult eye.,core_add,"The 42-participant UV-transmission workbook is direct human ocular-optics measurement data.",tabular,measurement,42,participants,"UV Data-Hammond.xlsx",high
10.5061/dryad.hhmgqnkjc,Corneal endothelial morphology of healthy myopic Malaysian children of Chinese ethnicity aged 8-9 years and its association with axial length,core_add,"The 111-participant raw corneal endothelial dataset is direct pediatric ocular-biometric data.",corneal_topography,measurement,111,participants,"F1000_ECD_raw_data_submitted.xlsx plus README",high
