doi,title,decision,reason,matched_existing_record,relationship_type,confidence
10.15146/r36w24,Análise de imagens de fundo de olho para detecção de retinopatia diabética,needs_manual_review,CC0 feature-table derivative of Kaggle diabetic-retinopathy images; verify upstream redistribution/derivative scope and whether it adds a sufficiently distinct tabular task.,eyepacs,derived_from_existing_source,medium
10.25338/b8fp72,Data: Phenotypic trait differences between Iris pseudacorus in native and introduced ranges support greater capacity of invasive populations to withstand sea level rise,exclude,Plant genus Iris search collision; not an ocular resource.,,,high
10.25338/b8p62h,"Data for: Effects of physical impairments on fitness correlates of the white-footed mouse, Peromyscus leucopus",exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.25338/b8wh0q,Data from: Germination niche breadth of invasive Iris pseudacorus (L.) suggests continued recruitment from seeds with climate warming,exclude,Plant genus Iris search collision; not an ocular resource.,,,high
10.25349/d9gp7f,Data for: Intrinsic spin Hall torque in a moiré Chern magnet,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.25349/d9j62b,"Analysis data for ""The effect of agricultural land retirement on pesticide use""",exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.25349/d9jc8b,Imaging orbital ferromagnetism in a moire Chern insulator,exclude,"Physics, astronomy, or software use of ?orbit?; not an ocular-orbit resource.",,,high
10.25349/d9k330,Measures and models of visual acuity in epipelagic and mesopelagic teleosts and elasmobranchs,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.25349/d9r626,Data from: Quantum disordered ground state in the triangular-lattice magnet NaRuO2,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.01n20,Data from: Clinical efficacy of implantation of toric intraocular lenses with different incision positions: a comparative study of steep-axis incision and non-steep-axis incision,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.02v6wwqjh,Dataset for: Multi-organ acute and delayed effects following exposure to neutron radiation,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.08kprr5h8,Data from: Refillable intraocular drug-eluting implant,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.0cfxpnwcs,Stable and accurate orbital-free density functional theory powered by machine learning,exclude,"Physics, astronomy, or software use of ?orbit?; not an ocular-orbit resource.",,,high
10.5061/dryad.0fg8g9h,Data from: Conserved visual sensitivities across divergent lizard lineages that differ in an ultraviolet sexual signal,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.0gb5mkkxn,Data from: Presence of same-sex kin promotes explorative behavior in subadult cichlid fish,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.0gb5mkm9b,Postural stability and optic flow sensitivity following sight restoration from congenital bilateral cataracts,needs_manual_review,"Post-cataract visual-restoration experiment is ophthalmically relevant, but supplied metadata does not clearly establish the reusable data contents or catalog fit.",,,medium
10.5061/dryad.0gb5mkmbc,A curated database of milky sea observations from 1600 to present,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.0kt87,Data from: Analysis of iris surface features in populations of diverse ancestry,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.0n5f66n,Data from: Spondyloarthritis in the Democratic Republic of the Congo: a prospective hospital-based study,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.0p2ngf25g,Mechanisms of simultaneous linear and nonlinear computations at the mammalian cone photoreceptor synapse,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.0p2ngf2bd,Data from: The effect of sampling methods on the validity and reliability of the estimation of the orbital stability of human gait,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.0p7vm,Data from: Development of an extracorporeal perfusion device for small animal free flaps,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.0qk7f,Data from: Identification of genetic defects in 33 probands with Stargardt disease by WES-based bioinformatics gene panel analysis,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.0vt4b8h0d,A historic global ground-based monthly seasonal aerosol climatology based in AERONET data: a database 1993-2013,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.0vt4b8hbz,Data and code from: Sub-surface deformation of individual fingerprint ridges during tactile interactions,exclude,"Paper, review, or software/code release without a distinct reusable eye-data resource.",,,high
10.5061/dryad.0zpc866zm,"A comparative study on the stability of the furfural molecule on the low index Ni, Pd and Pt surfaces",exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.0zpc86769,Direct magnetic imaging of fractional Chern insulators in twisted MoTe2,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.12751,Data from: Microsaccadic sampling of moving image information provides Drosophila hyperacute vision,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.12jm63z04,Multivesicular Release LIF Spike Data,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.12jm63z62,Melanopsin-mediated amplification of cone signals in the human visual cortex,exclude,Vision/behaviour search hit without direct ocular or ophthalmic data in the repository metadata.,,,high
10.5061/dryad.13bp2,Data from: Changing patterns of cataract services in North-West Nigeria: 2005–2016,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.144h1s1,"Data from: Extraocular motoneuron pools develop along a dorsoventral axis in zebrafish, Danio rerio",include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.163mp,Data from: Rat retinal vasomotion assessed by laser speckle imaging,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.18931zd2t,Data for: Prediction in cultured cortical neural networks,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.18931zd46,Additional morphometrical and ecological data collected during the 2018 expedition of the UMMZ in Nicaragua,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.1c05010,Data from: Perceived shift of the centres of contracting and expanding optic flow fields: different biases in the lower-right and upper-right visual quadrants,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.1c59zw3sc,Data from: Insights in the diagnosis of a retinal arteriovenous malformation,needs_manual_review,"Retinal arteriovenous-malformation diagnostic release appears relevant, but supplied metadata is insufficient to distinguish reusable study data from a minimal case-report supplement.",,,medium
10.5061/dryad.1d64r,Data from: Infection with Haemoproteus iwa affects vector movement in a hippoboscid fly – frigatebird system,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.1dm02,Data from: Identifying the core components of emotional intelligence: evidence from amplitude of low-frequency fluctuations during resting state,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
