record_id,canonical_name,official_source_url,dataset_identifier,deposit_version,source_archive_state,verification_result,download_completed,expected_bytes,downloaded_bytes,archive_member_count,archive_uncompressed_bytes,archive_integrity_confirmed,local_archive_sha256,source_checksum_available,temporary_dataset_files_retained,verification_date,notes
afio_fundus_vessels,AFIO Fundus Images for Vessel Segmentation and Disease Annotation,https://data.mendeley.com/datasets/3csr652p9y/2,3csr652p9y,2,available,complete_versioned_zip_verified,True,194039834,194039834,1,201029366,True,f37e80ff59f93e59583a297971f0727f204cde7951d3a63bc28e5be596bc4f3f,False,False,2026-08-03,The official versioned Download All ZIP matched the expected archive size and passed ZIP integrity inspection. The local SHA-256 identifies the downloaded archive; Mendeley did not provide an independent source checksum through this route.
amdnet23,AMDNet23 Fundus Image Dataset for AMD Detection,https://data.mendeley.com/datasets/yj35kjgrv3/1,yj35kjgrv3,1,available,complete_versioned_zip_verified,True,602201164,602201164,1994,616345245,True,76e88500d32df4ef40fb0fb19ee6cb4f9ac06b17fafd06230ae2eef94765a2d5,False,False,2026-08-03,The official versioned Download All ZIP matched the expected archive size and passed ZIP integrity inspection. The local SHA-256 identifies the downloaded archive; Mendeley did not provide an independent source checksum through this route.
anterior_segment_smile,Anterior Segment Parameters After SMILE Surgery,https://data.mendeley.com/datasets/vkdxsnhkrm/1,vkdxsnhkrm,1,available,complete_versioned_zip_verified,True,92839,92839,1,93947,True,fd5cc8d8cab0e03ff6d9ebe1c56c8a73f54956ef84561b846239f8f3ed8ad604,False,False,2026-08-03,The official versioned Download All ZIP matched the expected archive size and passed ZIP integrity inspection. The local SHA-256 identifies the downloaded archive; Mendeley did not provide an independent source checksum through this route.
bajwa_multi_eye,Bajwa Hospital Multi Eye Disease Dataset,https://data.mendeley.com/datasets/rgwpd4m785/3,rgwpd4m785,3,available,complete_versioned_zip_verified,True,1793502534,1793502534,1,1792977505,True,c8325de1a96bf81be5808b46b9527fa294f41bcd33530bfc5dbb5278d89b22cd,False,False,2026-08-03,The official versioned Download All ZIP matched the expected archive size and passed ZIP integrity inspection. The local SHA-256 identifies the downloaded archive; Mendeley did not provide an independent source checksum through this route.
bmrd,Bangladesh Multi-Disease Retinal Dataset,https://data.mendeley.com/datasets/959whsbc6v/1,959whsbc6v,1,available,complete_versioned_zip_verified,True,716566961,716566961,1,716609381,True,4541bc2f8576667d8971dc8f792c7614e5b929c3fa18717caba92d0a9ac992c9,False,False,2026-08-03,The official versioned Download All ZIP matched the expected archive size and passed ZIP integrity inspection. The local SHA-256 identifies the downloaded archive; Mendeley did not provide an independent source checksum through this route.
chronic_corneal_disorders,Chronic Corneal Disorders Clinical Dataset,https://data.mendeley.com/datasets/mcwv6thk8m/1,mcwv6thk8m,1,available,complete_versioned_zip_verified,True,16546,16546,1,18894,True,f65eb06715933e02629ea544c474fd45bfebfcda1b23b79423103cd152a8cd01,False,False,2026-08-03,The official versioned Download All ZIP matched the expected archive size and passed ZIP integrity inspection. The local SHA-256 identifies the downloaded archive; Mendeley did not provide an independent source checksum through this route.
corneal_curvature_fundus,Corneal Curvature Prediction Using Fundus Photography,https://data.mendeley.com/datasets/bc2jfr7dv9/1,bc2jfr7dv9,1,available,complete_versioned_zip_verified,True,12159219,12159219,1,12164447,True,1b4e7bc70692046a32625057d6b6730d81988232506a9dd331415863f662b19b,False,False,2026-08-03,The official versioned Download All ZIP matched the expected archive size and passed ZIP integrity inspection. The local SHA-256 identifies the downloaded archive; Mendeley did not provide an independent source checksum through this route.
corneal_epithelium_confocal,Keratoconus Corneal Epithelium Confocal Fluorescence Dataset,https://data.mendeley.com/datasets/n3gky25brh/2,n3gky25brh,2,available,complete_versioned_zip_verified,True,204152004,204152004,1,204089464,True,b8bd8652ed99573593106731366d3159862e8ee11b3e5d4de092ea806419ef16,False,False,2026-08-03,The official versioned Download All ZIP matched the expected archive size and passed ZIP integrity inspection. The local SHA-256 identifies the downloaded archive; Mendeley did not provide an independent source checksum through this route.
corneal_parameters_kc,Corneal Parameters Keratoconus Study,https://data.mendeley.com/datasets/3nz4fkwn3y/1,3nz4fkwn3y,1,available,complete_versioned_zip_verified,True,7696,7696,2,19673,True,ab468d98ffbc81503d23c1662a760c3c395f1d8c4e4772da0dc2d5a9a1e4275c,False,False,2026-08-03,The official versioned Download All ZIP matched the expected archive size and passed ZIP integrity inspection. The local SHA-256 identifies the downloaded archive; Mendeley did not provide an independent source checksum through this route.
corneal_tomography_iol,Multi-Parameter Corneal Tomography Dataset for IOL Selection,https://data.mendeley.com/datasets/wddj7bh9p9/1,wddj7bh9p9,1,available,complete_versioned_zip_verified,True,19227,19227,1,21389,True,51965be24c5a7ec0615fe5a8973b3f452c2730d330476da89bd0733390da00f1,False,False,2026-08-03,The official versioned Download All ZIP matched the expected archive size and passed ZIP integrity inspection. The local SHA-256 identifies the downloaded archive; Mendeley did not provide an independent source checksum through this route.
csc_fundus_segmentation,Central Serous Chorioretinopathy Fundus Segmentation Dataset,https://data.mendeley.com/datasets/4k64fwnp4k/5,4k64fwnp4k,5,available,complete_versioned_zip_verified,True,274795946,274795946,6,278273267,True,adc94c0ab6dff1eb52f7d3cfda3cbe2b5df72c98afac74c5e72c2173f9f278d9,False,False,2026-08-03,The official versioned Download All ZIP matched the expected archive size and passed ZIP integrity inspection. The local SHA-256 identifies the downloaded archive; Mendeley did not provide an independent source checksum through this route.
data_oct_fundus_glaucoma,Data on OCT and Fundus Images,https://data.mendeley.com/datasets/2rnnz5nz74/2,2rnnz5nz74,2,available,complete_versioned_zip_verified,True,34989922,34989922,199,35484232,True,45c59683147bb1e04a4b4d743ea8ba4396d67801968930595f3ed6974660a516,False,False,2026-08-03,The official versioned Download All ZIP matched the expected archive size and passed ZIP integrity inspection. The local SHA-256 identifies the downloaded archive; Mendeley did not provide an independent source checksum through this route.
external_eye_blepharitis,External Eye Photographs for Screening Referable Blepharitis,https://data.mendeley.com/datasets/bp37vw4z8d/1,bp37vw4z8d,1,available,complete_versioned_zip_verified,True,42027691,42027691,2,42021483,True,49123c8687a2e3b58a69768c5913ae1f3c6745a51d64d31cbb78bb19354bec1c,False,False,2026-08-03,The official versioned Download All ZIP matched the expected archive size and passed ZIP integrity inspection. The local SHA-256 identifies the downloaded archive; Mendeley did not provide an independent source checksum through this route.
eye_conjunctiva_segmentation,Eye Conjunctiva Segmentation Dataset,https://data.mendeley.com/datasets/yxwjgcndg2/1,yxwjgcndg2,1,available,complete_versioned_zip_verified,True,4577144882,4577144882,1641,4588188765,True,3876c56f1a8847be7ed97de9fb8ef605e6f165d7ad3465692a49f163c0d9fb1d,False,False,2026-08-03,The official versioned Download All ZIP matched the expected archive size and passed ZIP integrity inspection. The local SHA-256 identifies the downloaded archive; Mendeley did not provide an independent source checksum through this route.
