record_id,canonical_name,catalog_version,catalog_search_cutoff,identity_review_date,current_catalog_record,resource_role,resource_role_definition,dataset_family_id,dataset_family_member_count,dataset_family_members,outgoing_relationship_types,outgoing_relationship_targets,incoming_relationship_sources,relationship_evidence_urls,official_source_url,counting_rule
acrima,ACRIMA: Glaucoma Optic Disc Fundus Database,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,acrima,1,acrima,,,higancnn_generated_glaucoma|mm_retinal_reason,https://huggingface.co/datasets/lxirich/MM-Retinal-Reason/tree/d6243baa82c0914dba3c6f43ca79fdbf856982ef|https://www.kaggle.com/datasets/hindsaud/datasets-higancnn-glaucoma-detection,https://figshare.com/s/c2d31f850af14c5b5232,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
adam_challenge,ADAM — Automatic Detection of AMD Challenge,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,adam_challenge,1,adam_challenge,,,,,https://drive.google.com/file/d/1Uz5x0aqXb0aecjzNWQ4522oCxaRDZxBt/view,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
afio_fundus_vessels,AFIO Fundus Images for Vessel Segmentation and Disease Annotation,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,afio_fundus_vessels,1,afio_fundus_vessels,,,,,https://data.mendeley.com/datasets/3csr652p9y/2,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
agar300,AGAR300 Microaneurysm Fundus Image Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,agar300,1,agar300,,,,,https://ieee-dataport.org/open-access/diabetic-retinopathy-fundus-image-datasetagar300,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
age_challenge,AGE — Angle-Closure Glaucoma Evaluation Challenge (AS-OCT),0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,age_challenge,1,age_challenge,,,,,https://drive.google.com/file/d/1Qlkqj74SW8DJRKdYL_-ApC_0H5Z7uyvr/view,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
airogs,AIROGS: AI for Robust Glaucoma Screening,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,airogs,1,airogs,,,smdg,https://www.kaggle.com/datasets/deathtrooper/multichannel-glaucoma-benchmark-dataset,https://zenodo.org/records/5793241,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
amd_dme_3d_oct,Comprehensive 3D OCT Dataset for AMD and DME,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,amd_dme_3d_oct,1,amd_dme_3d_oct,,,,,https://doi.org/10.6084/m9.figshare.30582035.v1,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
amd_sd,AMD-SD: OCT Wet AMD Lesion Segmentation Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,amd_sd,1,amd_sd,,,,,https://www.kaggle.com/datasets/gaoweihao/amd-sd,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
amdnet23,AMDNet23 Fundus Image Dataset for AMD Detection,0.6.0,2026-08-02,2026-08-02,True,derivative_dataset,"A distinct data product that reuses one or more cataloged resources and adds processing, representations, synthesis, aggregation, or benchmark structure.",amdnet23,1,amdnet23,derived_from,hrf|odir2019|rfmid,,https://doi.org/10.17632/yj35kjgrv3.1,https://data.mendeley.com/datasets/yj35kjgrv3/1,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
angioreport,AngioReport Fundus Angiography Report Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,angioreport,1,angioreport,,,,,https://tianchi.aliyun.com/dataset/170128,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
anterior_segment_smile,Anterior Segment Parameters After SMILE Surgery,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,anterior_segment_smile,1,anterior_segment_smile,,,,,https://data.mendeley.com/datasets/vkdxsnhkrm/1,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
