platform,stable_id,title,official_source_url,search_date,query_hits,source_terms,metadata_result,file_count,final_decision,canonical_record_id,canonical_record_ids,relationship_type,reason,decision_basis,review_date
dryad,10.15146/r36w24,Análise de imagens de fundo de olho para detecção de retinopatia diabética,https://doi.org/10.15146/r36w24,2026-08-01,"[""\""diabetic retinopathy\""""]",https://spdx.org/licenses/CC0-1.0.html,search_metadata_confirmed,,excluded_duplicate_or_alternate_deposit,eyepacs,"[""eyepacs""]",derived_from_existing_source,The three feature CSVs are a derivative of Kaggle diabetic-retinopathy images; the deposit does not establish upstream redistribution terms or a sufficiently distinct independent resource.,completed_dryad_record_review,2026-08-03
dryad,10.25338/b8fp72,Data: Phenotypic trait differences between Iris pseudacorus in native and introduced ranges support greater capacity of invasive populations to withstand sea level rise,https://doi.org/10.25338/b8fp72,2026-08-01,"[""iris""]",https://spdx.org/licenses/CC0-1.0.html,search_metadata_confirmed,,excluded_not_eye_or_ophthalmology,,[],,Plant genus Iris search collision; not an ocular resource.,completed_dryad_record_review,2026-08-03
dryad,10.25338/b8p62h,"Data for: Effects of physical impairments on fitness correlates of the white footed mouse, Peromyscus leucopus",https://doi.org/10.25338/b8p62h,2026-08-01,"[""cataract""]",https://spdx.org/licenses/CC0-1.0.html,search_metadata_confirmed,,excluded_not_eye_or_ophthalmology,,[],,Unrelated keyword search hit; not an eye or ophthalmology data resource.,completed_dryad_record_review,2026-08-03
dryad,10.25338/b8wh0q,Data from: Germination niche breadth of invasive Iris pseudacorus (L.) suggests continued recruitment from seeds with climate warming,https://doi.org/10.25338/b8wh0q,2026-08-01,"[""iris""]",https://spdx.org/licenses/CC0-1.0.html,search_metadata_confirmed,,excluded_not_eye_or_ophthalmology,,[],,Plant genus Iris search collision; not an ocular resource.,completed_dryad_record_review,2026-08-03
dryad,10.25349/d9gp7f,Data for: Intrinsic spin Hall torque in a moiré Chern magnet,https://doi.org/10.25349/d9gp7f,2026-08-01,"[""orbit""]",https://spdx.org/licenses/CC0-1.0.html,search_metadata_confirmed,,excluded_not_eye_or_ophthalmology,,[],,Unrelated keyword search hit; not an eye or ophthalmology data resource.,completed_dryad_record_review,2026-08-03
dryad,10.25349/d9j62b,"Analysis data for ""The effect of agricultural land retirement on pesticide use""",https://doi.org/10.25349/d9j62b,2026-08-01,"[""iris""]",https://spdx.org/licenses/CC0-1.0.html,search_metadata_confirmed,,excluded_not_eye_or_ophthalmology,,[],,Unrelated keyword search hit; not an eye or ophthalmology data resource.,completed_dryad_record_review,2026-08-03
dryad,10.25349/d9jc8b,Imaging orbital ferromagnetism in a moire Chern insulator,https://doi.org/10.25349/d9jc8b,2026-08-01,"[""orbit""]",https://spdx.org/licenses/CC0-1.0.html,search_metadata_confirmed,,excluded_not_eye_or_ophthalmology,,[],,"Physics, astronomy, or software use of ?orbit?; not an ocular-orbit resource.",completed_dryad_record_review,2026-08-03
dryad,10.25349/d9k330,Measures and models of visual acuity in epipelagic and mesopelagic teleosts and elasmobranchs,https://doi.org/10.25349/d9k330,2026-08-01,"[""retinal""]",https://spdx.org/licenses/CC0-1.0.html,search_metadata_confirmed,,excluded_not_eye_or_ophthalmology,,[],,Unrelated keyword search hit; not an eye or ophthalmology data resource.,completed_dryad_record_review,2026-08-03
dryad,10.25349/d9r626,Data from: Quantum disordered ground state in the triangular lattice magnet NaRuO2,https://doi.org/10.25349/d9r626,2026-08-01,"[""orbit""]",https://spdx.org/licenses/CC0-1.0.html,search_metadata_confirmed,,excluded_not_eye_or_ophthalmology,,[],,Unrelated keyword search hit; not an eye or ophthalmology data resource.,completed_dryad_record_review,2026-08-03
dryad,10.5061/dryad.01n20,Data from: Clinical efficacy of implantation of toric intraocular lenses with different incision positions: a comparative study of steep axis incision and non steep axis incision,https://doi.org/10.5061/dryad.01n20,2026-08-01,"[""cataract"", ""corneal"", ""ophthalmology""]",https://spdx.org/licenses/CC0-1.0.html,search_metadata_confirmed,,existing_catalog_record,dryad_toric_iol_incision,"[""dryad_toric_iol_incision""]",,Human toric-IOL surgical outcome table directly supports cataract-surgery outcome analysis.,completed_dryad_record_review,2026-08-03
dryad,10.5061/dryad.02v6wwqjh,Dataset for: Multi organ acute and delayed effects following exposure to neutron radiation,https://doi.org/10.5061/dryad.02v6wwqjh,2026-08-01,"[""cataract""]",https://spdx.org/licenses/CC0-1.0.html,search_metadata_confirmed,,excluded_not_eye_or_ophthalmology,,[],,Unrelated keyword search hit; not an eye or ophthalmology data resource.,completed_dryad_record_review,2026-08-03
dryad,10.5061/dryad.08kprr5h8,Data from: Refillable intraocular drug eluting implant,https://doi.org/10.5061/dryad.08kprr5h8,2026-08-01,"[""cataract"", ""ocular"", ""ophthalmic"", ""ophthalmology""]",https://spdx.org/licenses/CC0-1.0.html,search_metadata_confirmed,,excluded_not_distinct_reusable_resource,,[],,Figure-labelled raw values support an intraocular-device paper; no distinct reusable ocular data object.,completed_dryad_record_review,2026-08-03
