doi,title,decision,reason,modality,tasks,primary_quantity_count,primary_quantity_unit,quantity_evidence_basis,publication_doi,version_number,file_count,total_bytes,matched_existing_record,relationship_type,confidence
10.5061/dryad.8931zcrw5,CCI.net fungal keratitis cases dataset,add_now,"Manifest exposes a documented image dataset and README; abstract specifies curated fungal-keratitis image splits.",corneal_images,"classification;segmentation",8697,images,official_deposit_abstract,10.2139/ssrn.4351620,8,2,258950684,,,high
10.5061/dryad.8cz8w9gmw,Dynamics of gaze control during prey capture in freely moving mice,add_now,"Three documented MAT/readme files contain bilateral eye and head recordings rather than article-only material.",eye_tracking,"gaze_analysis;behavior",105,trials,official_deposit_abstract,10.7554/elife.57458,2,3,150377070,,,high
10.5061/dryad.8cz8w9h0v,Data from: Quantifying changes on optical coherence tomography in eyes receiving treatment for neovascular age-related macular degeneration,add_now,"Longitudinal AMD OCT measurement CSV and README form a reusable clinical outcome resource.",oct,"measurement;longitudinal_analysis",2115,eyes,official_deposit_abstract,10.1016/j.xops.2024.100570,11,2,15711999,,,high
10.5061/dryad.8jk03jd,Data from: Type 1 interferon-inducible gene expression in QuantiFERON Gold TB-positive uveitis: a tool to stratify a high versus low risk of active tuberculosis?,add_now,"The released workbook is a directly described uveitis gene-expression cohort, not code or a narrative supplement.",transcriptomics,"stratification;biomarker_analysis",103,group_enrollments,official_deposit_abstract,10.1371/journal.pone.0206073,1,1,76872,,,medium
10.5061/dryad.8nv72,Data from: Individual variation in cone photoreceptor density in house sparrows: implications for between-individual differences in visual resolution and chromatic contrast,add_now,"Two named retinal cone-density/contrast workbooks and readmes provide reusable ocular phenotype measurements.",retinal_phenotyping,"measurement;visual_modeling",,, ,10.1371/journal.pone.0111854,1,4,849496,,,high
10.5061/dryad.95x69p8th,Quantifying the influence of optical coherence tomography beam tilt in the normal adult mouse retina,add_now,"Dryad provides a large OCT data archive with README for a directly retinal imaging experiment.",oct,"image_analysis;measurement",,, ,10.1371/journal.pone.0325217,3,2,4704522143,,,high
10.5061/dryad.9707661,Clinical characteristics of patients hospitalized for ocular chemical injuries in Shanghai from 2012 to 2017,add_now,"The deposit is a patient-level ocular-injury workbook with a documented clinical cohort.",clinical_tabular,"outcome_analysis;epidemiology",160,patients,official_deposit_abstract,10.1007/s10792-019-01263-w,3,1,70431,,,high
10.5061/dryad.97r9289,Data from: One and two year visual outcomes from the Moorfields age-related macular degeneration database: a retrospective cohort study and an open science resource,add_now,"A reusable de-identified AMD CSV and README are explicitly released as an open-science resource; retained for its documented time horizon.",clinical_tabular,"longitudinal_analysis;visual_outcome",8174,eyes,official_deposit_abstract,10.1136/bmjopen-2018-027441,4,2,10106429,dryad_namd_oct_quant;dryad_namd_visual_prediction,same_or_overlapping_cohort_as,high
10.5061/dryad.98sf7m0wt,Data and code from: Fatty acid metabolism reprograms immune microenvironment in retinal artery occlusion: Multi-Omics analysis highlights immunometabolic crosstalk,add_now,"Three omics data archives plus README expose a distinct retinal-artery-occlusion multi-omics cohort; code does not exhaust the release.",multiomics,"biomarker_analysis;classification",132,participants,official_deposit_abstract,10.1016/j.isci.2026.116445,4,4,19138637,,,high
10.5061/dryad.9cnp5hqfm,Data from: Ten-year survival trends of neovascular age-related macular degeneration at first presentation,add_now,"The manifest includes a 10-year AMD outcome CSV and analysis files, a distinct longitudinal outcome object.",clinical_tabular,"survival_analysis;visual_outcome",103,patients,official_deposit_abstract,10.1136/bjophthalmol-2020-317161,11,4,2305895,dryad_namd_oct_quant;dryad_namd_visual_prediction,same_or_overlapping_cohort_as,high
10.5061/dryad.9cnp5hqkq,Opponent processing in the retinal mosaic of nymphalid butterflies,add_now,"Named spectral-sensitivity workbook and README establish a reusable retinal physiology measurement resource.",retinal_physiology,"spectral_analysis;measurement",,, ,10.1098/rstb.2021.0275,3,2,112559,,,high
