doi,title,origin,final_decision,reason,source_evidence,version_number,file_count,total_bytes,relationship_clue
10.15146/r36w24,Análise de imagens de fundo de olho para detecção de retinopatia diabética,candidate_needs_manual_review,exclude,The three feature CSVs are a derivative of Kaggle diabetic-retinopathy images; the deposit does not establish upstream redistribution terms or a sufficiently distinct independent resource.,Official Dryad API dataset metadata and current v1 file listing: https://doi.org/10.15146/r36w24,1,3,270187,Derived from EyePACS/Kaggle diabetic-retinopathy images; upstream derivative terms unresolved.
10.5061/dryad.0gb5mkm9b,Postural stability and optic flow sensitivity following sight restoration from congenital bilateral cataracts,candidate_needs_manual_review,include,"Eleven named experiment tables, analysis scripts, demographics, and README form a distinct human visual-restoration dataset after congenital cataract surgery.",Official Dryad API dataset metadata and current v13 file listing: https://doi.org/10.5061/dryad.0gb5mkm9b,13,11,31105,No documented catalog relationship.
10.5061/dryad.1c59zw3sc,Data from: Insights in the diagnosis of a retinal arteriovenous malformation,candidate_needs_manual_review,exclude,"The deposit documents one 15-year-old case report with ophthalmic images, so it is an insufficiently characterized case supplement rather than a reusable cohort resource.",Official Dryad API dataset metadata and current v4 file listing: https://doi.org/10.5061/dryad.1c59zw3sc,4,79,547112745,No documented catalog relationship.
10.5061/dryad.1rn8pk13p,Supplementary data from: 2'-O-Galloylhyperin prevents tissue remodeling in thyroid eye disease: prospects as a thyrotropin receptor antagonist,candidate_needs_manual_review,exclude,A small generic Data.zip/README supplementary deposit does not identify a distinct reusable thyroid-eye-disease dataset beyond article support.,Official Dryad API dataset metadata and current v8 file listing: https://doi.org/10.5061/dryad.1rn8pk13p,8,2,13542,No documented catalog relationship.
10.5061/dryad.2gn8c,Data from: Oxidative stress-mediated NFκB phosphorylation upregulates p62/SQSTM1 and promotes retinal pigmented epithelial cell survival through increased autophagy,dryad_strict_screen_a_2026-08-01,exclude,The sole generic supporting-data archive contains paper-associated assays and slides without a separately defined reusable RPE resource.,Official Dryad API dataset metadata and current v1 file listing: https://doi.org/10.5061/dryad.2gn8c,1,1,10901661,No documented catalog relationship.
10.5061/dryad.47d7wm3dt,Influence of COVID‑19 on the prognosis and medication compliance of glaucoma patients in the Nile Delta Region,dryad_strict_screen_a_2026-08-01,exclude,The only file is an opaque Mastersheet document with no exposed variable schema or defined reusable research object.,Official Dryad API dataset metadata and current v4 file listing: https://doi.org/10.5061/dryad.47d7wm3dt,4,1,38912,No documented catalog relationship.
10.5061/dryad.73n5tb38p,Spectrophotometric determination of LAP photoinitiator radicalization in ophthalmic applications,candidate_needs_manual_review,exclude,The LAP spectrophotometry archive supports ophthalmic-materials work but does not expose ocular data or a distinct ophthalmic research object.,Official Dryad API dataset metadata and current v5 file listing: https://doi.org/10.5061/dryad.73n5tb38p,5,2,25593,No documented catalog relationship.
10.5061/dryad.bcc2fqzj1,miRNAs in primary open-angle glaucoma and ocular hypertension,dryad_strict_screen_b_2026-08-01,include,The normalized tear miRNA CSV and README constitute a defined human glaucoma and ocular-hypertension biomarker resource.,Official Dryad API dataset metadata and current v3 file listing: https://doi.org/10.5061/dryad.bcc2fqzj1,3,2,69620,No documented catalog relationship.
10.5061/dryad.dbrv15fbk,Influence of amyloid pathology on retina and dLGN in 5xFAD mouse model,dryad_strict_screen_b_2026-08-01,include,"The workbook and README provide a defined 5xFAD retina/dLGN disease-model resource with ERG, imaging, and histology measurements.",Official Dryad API dataset metadata and current v2 file listing: https://doi.org/10.5061/dryad.dbrv15fbk,2,2,108816,No documented catalog relationship.
10.5061/dryad.f4qrfj730,"Loss of alpha Ba-crystallin, but not alpha A-crystallin, increases age-related cataract in the zebrafish lens",dryad_strict_screen_b_2026-08-01,include,The named lens-image archive and README form a distinct cataract disease-mechanism imaging resource in zebrafish.,Official Dryad API dataset metadata and current v4 file listing: https://doi.org/10.5061/dryad.f4qrfj730,4,2,4451422309,No documented catalog relationship.
10.5061/dryad.gf1vhhn2x,Characterization of postsynaptic glutamate transporter functionality in the zebrafish retinal first synapse across different wavelengths,dryad_strict_screen_b_2026-08-01,exclude,Zebrafish first-synapse transporter files are general retinal physiology without a documented disease mechanism or translational imaging use.,Official Dryad API dataset metadata and current v6 file listing: https://doi.org/10.5061/dryad.gf1vhhn2x,6,2,9227915994,No documented catalog relationship.
10.5061/dryad.gv5k2j3,Data from: S-cone photoreceptors in the primate retina are functionally distinct from L and M cones,dryad_strict_screen_b_2026-08-01,exclude,The partial primate S-cone source-data archive is general visual neuroscience and does not provide a disease or ophthalmic-method resource.,Official Dryad API dataset metadata and current v1 file listing: https://doi.org/10.5061/dryad.gv5k2j3,1,1,188452270,No documented catalog relationship.
10.5061/dryad.j9kd51crg,Photopic flicker optoretinography captures the light-driven length modulation of photoreceptors during phototransduction,dryad_strict_screen_b_2026-08-01,exclude,"The deposit is organized as figure archives and README, without a separately documented reusable optoretinography recording resource.",Official Dryad API dataset metadata and current v8 file listing: https://doi.org/10.5061/dryad.j9kd51crg,8,6,14441898,No documented catalog relationship.
10.5061/dryad.kc041,Data from: Whole-body photoreceptor networks are independent of ‘lenses’ in brittle stars,candidate_needs_manual_review,exclude,"Brittle-star photoreceptor and tomography files are comparative sensory biology, outside the ophthalmology and translational ocular boundary.",Official Dryad API dataset metadata and current v1 file listing: https://doi.org/10.5061/dryad.kc041,1,12,16999532201,No documented catalog relationship.
10.5061/dryad.kd51c5bhj,Ocular and extraocular expression of opsins reveals evolutionary trends underlying visual and non-visual functions in bivalves (Pteriomorphia),candidate_needs_manual_review,exclude,"Bivalve opsin expression and phylogeny files are comparative evolutionary biology, not an ophthalmic or translational ocular resource.",Official Dryad API dataset metadata and current v5 file listing: https://doi.org/10.5061/dryad.kd51c5bhj,5,13,7342730,No documented catalog relationship.
10.5061/dryad.r1921,Data from: Collective behaviour in vertebrates: a sensory perspective,candidate_needs_manual_review,exclude,"The archive contains collective-behavior simulations using sensory parameters, not direct ocular or ophthalmic research data.",Official Dryad API dataset metadata and current v1 file listing: https://doi.org/10.5061/dryad.r1921,1,1,720789879,No documented catalog relationship.
10.5061/dryad.zcrjdfngp,Data from: Behavior shapes retinal motion statistics during natural locomotion,dryad_strict_screen_c_2026-08-01,exclude,The package omits raw eye-tracking data and addresses general locomotor retinal-motion statistics rather than an ophthalmic resource.,Official Dryad API dataset metadata and current v6 file listing: https://doi.org/10.5061/dryad.zcrjdfngp,6,2,13534413695,No documented catalog relationship.
